ESTABILIDAD;30/09/2025 14:00:33;DOBACK028;Sesión:2;
ax; ay; az; gx; gy; gz; roll; pitch; yaw; timeantwifi; usciclo1; usciclo2; usciclo3; usciclo4; usciclo5; si; accmag; microsds; k3
-64.17; -18.42; 1010.53; -33.95;  31.50;  -1.23;   1.68;   9.47;   0.06; 448.00; 19997.00; 19999.00; 19999.00; 19999.00; 20175.00;   0.93; 1012.73; 205724.00;   0.86;
-64.05; -18.30; 1010.53; -38.32;  18.37;  29.40;   1.70;   9.39;   0.06; 2426.00; 20090.00; 19916.00; 19849.00; 19962.00; 19998.00;   0.93; 1012.72; 205724.00;   0.86;
-64.05; -18.30; 1010.65; -33.95; -25.37;   3.15;   1.71;   9.31;   0.06; 13176.00; 19998.00; 19998.00; 19998.00; 20064.00; 19931.00;   0.93; 1012.84; 205724.00;   0.86;
-64.05; -18.42; 1010.65; -20.82;  18.37; -23.10;   1.73;   9.24;   0.06; 2233.00; 20000.00; 19998.00; 20000.00; 19998.00; 19998.00;   0.93; 1012.84; 205724.00;   0.86;
-64.05; -18.30; 1010.53; -25.20;  -3.50;  33.77;   1.74;   9.16;   0.06; 2364.00; 19998.00; 19998.00; 19998.00; 20275.00; 19722.00;   0.93; 1012.72; 205724.00;   0.86;
-64.05; -18.30; 1010.65;  40.43;   9.63;  -1.23;   1.76;   9.09;   0.06; 2756.00; 19998.00; 19998.00; 19998.00; 19998.00; 19998.00;   0.93; 1012.84; 205724.00;   0.86;
-64.17; -18.30; 1010.65;  57.93;   9.63;  16.27;   1.77;   9.01;   0.06; 2886.00; 19998.00; 19998.00; 19998.00; 19998.00; 19998.00;   0.93; 1012.85; 205724.00;   0.86;
-64.05; -18.30; 1010.65;  -3.32;  66.50;  16.27;   1.79;   8.94;   0.06; 3026.00; 19998.00; 19999.00; 19997.00; 19998.00; 19998.00;   0.93; 1012.84; 205724.00;   0.86;
-64.05; -18.30; 1010.77;  57.93;  27.13; -27.48;   1.80;   8.86;   0.06; 69466.00; 19997.00; 20000.00; 19997.00; 19999.00; 19999.00;   0.93; 1012.96; 205724.00;   0.86;
-64.17; -18.42; 1010.77;   9.80;  14.00;  -9.98;   1.82;   8.79;   0.06; 20939.00; 19999.00; 20000.00; 19997.00; 20002.00; 19996.00;   0.93; 1012.97; 205724.00;   0.86;
14:00:34
-64.17; -18.54; 1010.89;  40.43;   0.88;  -5.60;   1.83;   8.72;   0.06; 81644.00; 19999.00; 20029.00; 19964.00; 19999.00; 19999.00;   0.93; 1013.10; 211299.00;   0.86;
-64.29; -18.42; 1010.65;   5.43;  -7.87;  25.02;   1.84;   8.65;   0.06; 16810.00; 20045.00; 20430.00; 19521.00; 20000.00; 19997.00;   0.93; 1012.86; 211299.00;   0.86;
-64.05; -18.30; 1010.65;   5.43; -21.00;  25.02;   1.85;   8.58;   0.06; 1269.00; 20000.00; 19999.00; 19998.00; 19998.00; 19998.00;   0.93; 1012.84; 211299.00;   0.86;
-64.05; -18.42; 1010.65;   9.80;   5.25; -14.35;   1.87;   8.51;   0.07; 2585.00; 19998.00; 19998.00; 19998.00; 19998.00; 19998.00;   0.93; 1012.84; 211299.00;   0.86;
-64.17; -18.42; 1010.65;  49.18; -16.62;   7.52;   1.88;   8.44;   0.07; 2597.00; 19998.00; 19998.00; 19998.00; 19998.00; 19998.00;   0.93; 1012.85; 211299.00;   0.86;
-64.05; -18.30; 1010.65; -25.20;  14.00; -14.35;   1.89;   8.37;   0.07; 2848.00; 19998.00; 19998.00; 19998.00; 19998.00; 19998.00;   0.93; 1012.84; 211299.00;   0.86;
