ESTABILIDAD;05/03/2025 09:28:37AM;DOBACK002;53;0;
ax; ay; az; gx; gy; gz; roll; pitch; yaw; timeantwifi; usciclo1; usciclo2; usciclo3;usciclo4; usciclo5; si; accmag; microsds
-20.37;  91.01; 1021.99;  29.22;  31.85; -61.69;   2.03;   5.90;   4.30; 37958993.00; 20001.00; 19999.00; 19998.00; 20027.00; 19971.00;   0.79; 1026.24; 20570.00; 
-19.03;  90.65; 1022.48; -80.15;  23.10;  -0.44;   2.02;   5.89;   4.30; 38059192.00; 20047.00; 19952.00; 19999.00; 20064.00; 19934.00;   0.80; 1026.67; 20570.00; 
-18.30;  90.77; 1022.60;  24.85; 106.22; -26.69;   2.02;   5.88;   4.30; 38159187.00; 20006.00; 19992.00; 20001.00; 19998.00; 20039.00;   0.81; 1026.79; 20570.00; 
-19.64;  92.96; 1020.04;  37.97; -42.53; -87.94;   2.02;   5.88;   4.29; 38259260.00; 19959.00; 20001.00; 19998.00; 20001.00; 20040.00;   0.80; 1024.46; 20570.00; 
-22.57;  87.84; 1021.51;  20.47;   9.97;  17.06;   2.02;   5.87;   4.29; 38359227.00; 19959.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.77; 1025.52; 20570.00; 
-20.74;  90.77; 1024.43;  59.85; -138.78; -17.94;   2.00;   5.88;   4.30; 38459207.00; 19998.00; 20059.00; 19939.00; 20001.00; 19998.00;   0.79; 1028.66; 20570.00; 
-17.69;  92.48; 1019.68; -62.65; -77.53;  -4.81;   1.99;   5.87;   4.29; 38559346.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.82; 1024.01; 20570.00; 
-17.45;  90.28; 1021.87; -49.53; 180.60;  43.31;   1.99;   5.86;   4.29; 38658909.00; 19998.00; 20026.00; 19974.00; 19998.00; 19999.00;   0.82; 1026.00; 20570.00; 
-19.89;  89.67; 1023.46;  90.47;   1.22; -48.56;   1.99;   5.86;   4.29; 38759626.00; 19999.00; 20001.00; 19998.00; 20001.00; 20014.00;   0.80; 1027.57; 20570.00; 
-21.72;  91.62; 1021.38;  24.85; -25.03;  -9.19;   1.99;   5.85;   4.29; 38859676.00; 19985.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.78; 1025.72; 20570.00; 
