ESTABILIDAD;05/03/2025 09:28:37AM;DOBACK002;53;0;
ax; ay; az; gx; gy; gz; roll; pitch; yaw; timeantwifi; usciclo1; usciclo2; usciclo3;usciclo4; usciclo5; si; accmag; microsds
 -7.20; 191.05; 1007.72; -2136.40; -1158.15; 1863.31;   0.56;   8.54; -186.08; 81546054.00; 20021.00; 19977.00; 20001.00; 20004.00; 19996.00;   0.93; 1025.70; 22330.00; 
 10.74; 193.61; 1025.90; -1060.15; 338.10; 787.06;   0.46;   8.67; -186.01; 81646358.00; 19998.00; 20001.00; 19998.00; 19999.00; 20001.00;   0.89; 1044.06; 22330.00; 
  0.49; 190.32; 1017.48; -2416.40; -624.40; 721.44;   0.35;   8.76; -185.97; 81746403.00; 19998.00; 20001.00; 20020.00; 19977.00; 20001.00;   0.99; 1035.13; 22330.00; 
 -7.69; 193.98; 1013.82; 1201.72; -1490.65; 388.94;   0.22;   8.75; -185.93; 81846661.00; 19998.00; 20021.00; 19978.00; 20001.00; 19998.00;   0.92; 1032.24; 22330.00; 
09:29:56AM
  6.59; 192.88; 1029.31; 724.85; -178.15; 673.31;   0.05;   8.84; -185.95; 81945969.00; 20004.00; 19995.00; 20001.00; 19998.00; 20044.00;   0.93; 1047.25; 22295.00; 
 14.40; 192.03; 1022.24; -920.15; -29.40; 957.69;  -0.01;   8.96; -185.89; 82045908.00; 19955.00; 20001.00; 20005.00; 19995.00; 20003.00;   0.85; 1040.22; 22295.00; 
 10.74; 180.32; 1021.63; -1353.28; 898.10; 1285.81;   0.04;   9.11; -185.85; 82146244.00; 19994.00; 20001.00; 19998.00; 20001.00; 20007.00;   0.89; 1037.47; 22295.00; 
 -3.05; 180.80; 1026.02; -880.78; -182.53; -70.44;  -0.01;   9.19; -185.82; 82246203.00; 19992.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.97; 1041.83; 22295.00; 
  5.37; 177.39; 1027.73; 821.10; 495.60; 577.06;  -0.06;   9.31; -185.77; 82346119.00; 19998.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.95; 1042.94; 22295.00; 
 11.22; 181.54; 1011.38; 2151.10; 543.72; -61.69;  -0.07;   9.34; -185.72; 82446262.00; 20001.00; 20022.00; 19977.00; 19998.00; 20001.00;   0.88; 1027.60; 22295.00; 
  7.20; 178.12; 1009.31; 1197.35; 2004.97; -665.44;   0.22;   9.18; -185.71; 82546369.00; 19998.00; 20002.00; 19996.00; 20001.00; 19998.00;   0.93; 1024.93; 22295.00; 
-11.22; 178.85; 1047.13; -2114.52; 486.85; 493.94;   0.32;   9.23; -185.70; 82646489.00; 20001.00; 19998.00; 20045.00; 19953.00; 20047.00;   0.89; 1062.35; 22295.00; 
-17.45; 174.95; 1021.99; 392.35; -1009.40; 734.56;   0.16;   9.45; -185.66; 82746652.00; 19983.00; 19969.00; 20029.00; 19971.00; 19998.00;   0.82; 1037.01; 22295.00; 
  9.39; 171.17; 984.54; 1626.10; 1825.60; 922.69;   0.27;   9.49; -185.66; 82846685.00; 20001.00; 19998.00; 20061.00; 19938.00; 20001.00;   0.90; 999.35; 22295.00; 
09:29:56AM
 -5.86; 188.73; 1013.94; -1173.90; 985.60; -341.69;   0.39;   9.44; -185.58; 82945808.00; 19999.00; 20038.00; 19959.00; 20001.00; 19998.00;   0.94; 1031.37; 22422.00; 
-21.23; 172.26; 1033.10; -2630.77; 198.10; -201.69;   0.48;   9.20; -185.60; 83045602.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.78; 1047.57; 22422.00; 
-17.81; 156.40; 1026.26; 7584.85; -1538.78; 922.69;   0.31;   9.34; -185.55; 83145738.00; 19998.00; 19999.00; 20001.00; 19998.00; 20046.00;   0.82; 1038.27; 22422.00; 
-12.08; 174.34; 1025.78; 3201.10; -2317.52; -1973.56;   0.01;   9.30; -185.38; 83246003.00; 19952.00; 20001.00; 20025.00; 19974.00; 20000.00;   0.88; 1040.56; 22422.00; 
 13.05; 191.17; 979.90; -6913.90; 1243.72; 209.56;  -0.07;   9.43; -185.36; 83346099.00; 20035.00; 19965.00; 19998.00; 20050.00; 19969.00;   0.86; 998.46; 22422.00; 
  9.15; 181.05; 1003.45; 2028.60; 604.97; -984.81;  -0.02;   9.10; -185.28; 83446219.00; 20030.00; 19959.00; 19990.00; 19998.00; 20001.00;   0.90; 1019.69; 22422.00; 
-16.47; 162.99; 1023.09; -3151.40; 399.35; 555.19;  -0.04;   8.89; -185.20; 83546263.00; 19998.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.83; 1036.13; 22422.00; 
 -4.15; 138.23; 1024.56; -2158.27; -431.90; 1395.19;  -0.27;   9.02; -185.24; 83645198.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.96; 1033.85; 22422.00; 
  8.05; 150.06; 1046.27; 5616.10; -1613.15; -1221.06;  -0.38;   9.32; -185.20; 83745357.00; 19998.00; 20001.00; 19998.00; 20001.00; 20029.00;   0.92; 1057.01; 22422.00; 
 -6.47; 161.53; 1038.46; 1494.85; -1928.15; 655.81;  -0.49;   9.46; -185.14; 83846527.00; 19971.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.93; 1050.97; 22422.00; 
09:29:56AM
  4.39; 160.06; 1028.46; -1051.40; 451.85; 262.06;  -0.67;   9.55; -185.19; 83945692.00; 19999.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.96; 1040.85; 19990.00; 
 20.86; 164.46; 1028.95; -1869.53; 1974.35; 813.31;  -0.69;   9.68; -185.18; 84045875.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.79; 1042.22; 19990.00; 
 15.74; 165.07; 1026.87; -653.28; 1274.35; -560.44;  -0.69;   9.77; -185.21; 84146107.00; 19998.00; 20006.00; 19992.00; 20003.00; 19995.00;   0.84; 1040.18; 19990.00; 
 10.25; 155.06; 1026.39; 462.35; 1199.97; 362.69;  -0.64;   9.81; -185.23; 84246202.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.90; 1038.08; 19990.00; 
 15.86; 153.48; 1013.21; 1429.22; 2315.60; 441.44;  -0.51;   9.96; -185.24; 84345973.00; 19998.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.84; 1024.89; 19990.00; 
 22.45; 155.31; 1020.29;  90.47; 4376.23;  78.31;  -0.24;  10.05; -185.31; 84446208.00; 19999.00; 20001.00; 20000.00; 19998.00; 20001.00;   0.77; 1032.28; 19990.00; 
  9.52; 159.94; 1013.94; 899.85; 2591.23; -1304.19;   0.05;  10.16; -185.33; 84546470.00; 19998.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.90; 1026.52; 19990.00; 
-12.32; 157.26; 1016.38; -233.27; 1873.72; -271.69;   0.27;  10.18; -185.36; 84646178.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.87; 1028.55; 19990.00; 
-20.50; 157.87; 1022.12; 352.98; 2219.35; 240.19;   0.38;  10.28; -185.35; 84746492.00; 20031.00; 19969.00; 19998.00; 20001.00; 19998.00;   0.79; 1034.44; 19990.00; 
-24.52; 161.77; 1023.70; 554.22; 941.85;  -9.19;   0.46;  10.43; -185.33; 84846149.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.75; 1036.70; 19990.00; 
09:29:56AM
-31.11; 161.16; 1034.44; 987.35; -283.15; 323.31;   0.46;  10.56; -185.34; 84945861.00; 20002.00; 19998.00; 19998.00; 20001.00; 19998.00;   0.68; 1047.38; 20332.00; 
-35.87; 162.50; 1031.88; 396.73; -1446.90; 209.56;   0.32;  10.71; -185.33; 85045857.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.64; 1045.21; 20332.00; 
-28.43; 162.26; 1027.48; 309.23; -2361.27; 423.94;  -0.02;  10.84; -185.30; 85146130.00; 19998.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.71; 1040.61; 20332.00; 
-11.47; 163.48; 1023.09; 1809.85; -1630.65;  -9.19;  -0.30;  10.87; -185.26; 85246120.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.88; 1036.13; 20332.00; 
 -3.42; 159.21; 1024.80; -45.15; -471.28; 292.69;  -0.42;  10.86; -185.22; 85346078.00; 19998.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.97; 1037.10; 20332.00; 
  1.59; 149.69; 1038.59; 659.22; -1241.28; -621.69;  -0.47;  10.86; -185.26; 85444895.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.98; 1049.32; 20332.00; 
  5.61; 149.94; 1023.70; 3625.48; -558.78; -416.06;  -0.48;  10.98; -185.29; 85546135.00; 19998.00; 19999.00; 20001.00; 19998.00; 20001.00;   0.94; 1034.64; 20332.00; 
 11.96; 150.06; 1034.32; 1157.97; 1523.72;  91.44;  -0.46;  11.09; -185.31; 85645089.00; 19998.00; 19999.00; 20001.00; 19998.00; 20001.00;   0.88; 1045.21; 20332.00; 
  5.98; 150.55; 1040.17; 694.22; 412.47; -647.94;  -0.38;  11.18; -185.34; 85745273.00; 19998.00; 20001.00; 20000.00; 19998.00; 20001.00;   0.94; 1051.03; 20332.00; 
 -6.83; 151.04; 1010.65; 1039.85; 806.22; -547.31;  -0.23;  11.20; -185.39; 85846234.00; 19998.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.93; 1021.89; 20332.00; 
09:29:56AM
 -8.78; 153.84; 1022.85; -469.52; 723.10; -179.81;  -0.19;  11.23; -185.44; 85945893.00; 20000.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.91; 1034.39; 20605.00; 
 -6.10; 151.40; 1022.85; 1114.22; 779.97; -70.44;  -0.08;  11.26; -185.48; 86045953.00; 19998.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.94; 1034.01; 20605.00; 
-12.20; 143.35; 1027.00; 864.85; 136.85; -324.19;  -0.04;  11.32; -185.49; 86144586.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.88; 1037.02; 20605.00; 
-16.71; 134.44; 1021.14; -1650.78; 880.60;   8.31;  -0.06;  11.36; -185.53; 86242071.00; 19998.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.83; 1030.09; 20605.00; 
-11.47; 130.17; 1009.55; -543.90; 771.22; -997.94;  -0.03;  11.38; -185.59; 86342271.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.88; 1017.97; 20605.00; 
 -9.03; 130.17; 1021.75; 322.35; 447.47; -1186.06;   0.07;  11.28; -185.63; 86442202.00; 19998.00; 20006.00; 19992.00; 20001.00; 19998.00;   0.91; 1030.05; 20605.00; 
-17.93; 123.83; 1022.60; -447.65; 871.85; -980.44;   0.20;  11.14; -185.66; 86539570.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.82; 1030.23; 20605.00; 
-12.93; 123.95; 1027.97; 300.48; 1151.85; 205.19;   0.26;  11.23; -185.73; 86639689.00; 19998.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.87; 1035.50; 20605.00; 
-18.18; 130.17; 1021.26; -355.77; 1716.22; -293.56;   0.44;  11.27; -185.76; 86742267.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.81; 1029.69; 20605.00; 
-38.55; 121.15; 1053.10; -1318.28; -1075.03; 283.94;   0.44;  11.43; -185.81; 86839696.00; 19998.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.62; 1060.75; 20605.00; 
09:30:03AM
-16.96; 135.91; 988.44; 597.97; 329.35; -188.56;   0.34;  11.62; -185.89; 86944679.00; 20001.00; 19997.00; 20001.00; 19998.00; 20001.00;   0.82; 997.89; 22053.00; 
-10.98; 153.72; 953.55; -5601.40; 1261.22; -477.31;   0.46;  11.48; -185.94; 87046275.00; 19998.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.88; 965.93; 22053.00; 
-25.99; 141.52; 982.22; -8108.27; 976.85; -1046.06;   0.50;  10.81; -186.03; 87144751.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.72; 992.70; 22053.00; 
-29.77;  97.72; 1003.94; 786.10; -1866.90; -748.56;   0.48;  10.43; -186.13; 87239377.00; 19998.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.69; 1009.12; 22053.00; 
-19.64;  92.72; 1016.50; 3310.48; -1442.53; -289.19;   0.28;  10.54; -186.15; 87339171.00; 20001.00; 20005.00; 19994.00; 19998.00; 19999.00;   0.80; 1020.91; 22053.00; 
-19.52; 112.73; 1043.34; 1888.60; -816.90; -529.81;   0.24;  10.73; -186.20; 87439398.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.80; 1049.60; 22053.00; 
-24.64; 119.32; 1029.68; 1455.47; -2238.77; -136.06;   0.05;  10.90; -186.22; 87539256.00; 19998.00; 19999.00; 20001.00; 19998.00; 19999.00;   0.75; 1036.86; 22053.00; 
-10.74; 120.05; 1022.36; -333.90; -64.40; 340.81;  -0.11;  11.05; -186.26; 87639488.00; 19999.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.89; 1029.44; 22053.00; 
-10.61; 126.64; 1026.63; 326.73; -725.03; -713.56;  -0.11;  11.01; -186.25; 87739229.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.89; 1034.47; 22053.00; 
-22.69; 126.88; 1036.51; 825.47; -1000.65; -757.31;  -0.07;  11.03; -186.29; 87839643.00; 20000.00; 20048.00; 19948.00; 20001.00; 19998.00;   0.77; 1044.50; 22053.00; 
09:30:04AM
-15.37; 108.34; 1039.56; 2019.85;  44.97;  17.06;  -0.05;  11.07; -186.31; 87938926.00; 20005.00; 19994.00; 20035.00; 19964.00; 20001.00;   0.85; 1045.30; 20708.00; 
-22.45; 116.02; 1023.21; 1735.47; 1786.22; 472.06;   0.09;  11.16; -186.24; 88038788.00; 19998.00; 20043.00; 19956.00; 20001.00; 19998.00;   0.77; 1030.02; 20708.00; 
-47.34; 113.46; 1025.90; 1149.22;  53.72; 437.06;   0.25;  11.13; -186.17; 88139143.00; 19999.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.52; 1033.24; 20708.00; 
-42.82; 101.87; 1029.31; -294.52; 2009.35; 629.56;   0.35;  11.08; -186.05; 88238812.00; 20001.00; 19998.00; 20001.00; 20032.00; 19968.00;   0.56; 1035.23; 20708.00; 
-57.83;  86.74; 1039.68; 1346.10; 2560.60; 843.94;   0.67;  11.02; -185.88; 88339987.00; 19998.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.42; 1044.90; 20708.00; 
-78.45;  96.87; 1026.02; 1109.85; 1812.47; 1294.56;   0.85;  11.06; -185.69; 88444111.00; 20001.00; 19998.00; 19999.00; 20001.00; 19998.00;   0.20; 1033.56; 20708.00; 
-71.61;  93.09; 1007.96; 2256.10; 1646.22; 1858.94;   0.92;  11.07; -185.52; 88543102.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.26; 1014.78; 20708.00; 
-78.69; 101.87; 994.18; -1952.65; 193.72; 909.56;   0.99;  10.83; -185.28; 88644936.00; 19998.00; 19999.00; 20001.00; 19998.00; 20001.00;   0.17; 1002.48; 20708.00; 
-78.93;  99.80; 992.84; -1598.28; 574.35; 476.44;   1.08;  10.53; -185.14; 88745163.00; 20043.00; 19953.00; 20002.00; 19998.00; 20001.00;   0.17; 1000.96; 20708.00; 
-65.64;  85.03; 1000.40; -3680.77; 1121.22; 1692.69;   1.11;  10.25; -184.99; 88843096.00; 19998.00; 20004.00; 19995.00; 19999.00; 20001.00;   0.31; 1006.15; 20708.00; 
09:30:05AM
-68.32;  74.05; 1027.97; -1620.15; 954.97; 1333.94;   1.11;  10.19; -184.85; 88942410.00; 19997.00; 20002.00; 19999.00; 20001.00; 20004.00;   0.30; 1032.90; 19847.00; 
-64.42;  74.91; 1025.29; 1171.10; 219.97; 1001.44;   1.12;  10.28; -184.71; 89041839.00; 19996.00; 19998.00; 20001.00; 19998.00; 20003.00;   0.34; 1030.04; 19847.00; 
-64.66;  76.86; 1024.31; 768.60; 539.35; 1250.81;   1.14;  10.36; -184.55; 89141884.00; 20032.00; 19965.00; 19998.00; 20001.00; 19998.00;   0.34; 1029.22; 19847.00; 
-59.78;  82.84; 1026.51; -1843.28; 259.35; 625.19;   1.12;  10.38; -184.40; 89241249.00; 20025.00; 19974.00; 19999.00; 20001.00; 19998.00;   0.39; 1031.58; 19847.00; 
-46.12;  73.57; 1031.63; 1227.97;  23.10; -31.06;   1.15;  10.31; -184.32; 89339212.00; 20001.00; 20037.00; 19961.00; 20001.00; 19998.00;   0.53; 1035.28; 19847.00; 
-35.62;  70.52; 1025.90; 996.10; 1654.97; 275.19;   1.18;  10.35; -184.29; 89439411.00; 20001.00; 19998.00; 19999.00; 20001.00; 20005.00;   0.64; 1028.94; 19847.00; 
-49.90;  54.90; 1021.02; -832.65; 246.22; -79.19;   1.22;  10.33; -184.29; 89540265.00; 19995.00; 19998.00; 20001.00; 19998.00; 20060.00;   0.49; 1023.71; 19847.00; 
-44.29;  57.58; 1010.16;  29.22; 1151.85; -709.19;   1.34;  10.19; -184.31; 89640209.00; 19939.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.54; 1012.77; 19847.00; 
-37.82;  60.76; 999.55; -1086.40; 1943.72; -586.69;   1.45;  10.04; -184.31; 89739520.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.60; 1002.10; 19847.00; 
-53.19;  57.10; 1001.01; -1331.40; 1493.10; -862.31;   1.67;   9.80; -184.32; 89840942.00; 19998.00; 20016.00; 20030.00; 19993.00; 19958.00;   0.44; 1004.05; 19847.00; 
09:30:05AM
-59.41;  43.19; 1017.24; -797.65; 1856.22; -214.81;   1.82;   9.60; -184.35; 89941090.00; 20003.00; 19995.00; 20001.00; 19998.00; 20001.00;   0.39; 1019.88; 21630.00; 
-61.37;  40.63; 1034.93; 926.10; 1195.60;  25.81;   1.89;   9.58; -184.34; 90041506.00; 19998.00; 20001.00; 20043.00; 19957.00; 19998.00;   0.38; 1037.54; 21630.00; 
-68.81;  40.50; 1035.29; 611.10; 1344.35; 861.44;   1.83;   9.82; -184.31; 90142664.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.30; 1038.37; 21630.00; 
-69.66;  52.46; 1045.78; 619.85; -453.78; -31.06;   1.73;  10.08; -184.29; 90242696.00; 20000.00; 20000.00; 19998.00; 20004.00; 19994.00;   0.30; 1049.41; 21630.00; 
-71.74;  47.58; 1039.32; -263.90; -532.53; 1307.69;   1.58;  10.28; -184.23; 90342696.00; 20006.00; 19992.00; 20001.00; 19998.00; 19999.00;   0.28; 1042.88; 21630.00; 
-75.15;  50.39; 1044.20; 2137.98; -1639.40; 437.06;   1.48;  10.45; -184.20; 90443473.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.25; 1048.11; 21630.00; 
-68.69;  52.22; 1033.58; 479.85; -1928.15; 489.56;   1.29;  10.67; -184.17; 90542244.00; 19999.00; 20043.00; 19954.00; 20001.00; 19998.00;   0.30; 1037.18; 21630.00; 
-55.88;  55.39; 1033.58; 199.85; -659.40; -201.69;   1.19;  10.67; -184.11; 90640024.00; 20001.00; 19998.00; 20013.00; 19986.00; 20001.00;   0.43; 1036.57; 21630.00; 
-50.75;  54.66; 1011.50; -727.65;  84.35; 721.44;   1.24;  10.61; -184.12; 90739641.00; 19998.00; 20001.00; 20002.00; 19997.00; 19998.00;   0.47; 1014.25; 21630.00; 
-52.09;  58.32; 1001.99; -1593.90; 447.47; 336.44;   1.35;  10.40; -184.15; 90839488.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.46; 1005.03; 21630.00; 
09:30:07AM
-59.05;  49.17; 1020.29; -1003.28; 561.22; -52.94;   1.43;  10.15; -184.17; 90940292.00; 19998.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.39; 1023.18; 25546.00; 
-50.87;  30.99; 1055.67; 471.10; 1116.85; 222.69;   1.56;  10.12; -184.22; 91039132.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.50; 1057.35; 25546.00; 
-52.70;  28.91; 1068.60; 2697.98; 1808.10; 712.69;   1.67;  10.38; -184.20; 91139193.00; 20004.00; 19998.00; 19995.00; 20001.00; 19998.00;   0.48; 1070.29; 25546.00; 
-72.83;  51.00; 1014.31; 2435.48; -554.40; -647.94;   1.67;  10.70; -184.14; 91242724.00; 20001.00; 19998.00; 20001.00; 19998.00; 20006.00;   0.25; 1018.20; 25546.00; 
-75.03;  70.52; 965.14; 199.85; -1346.28; 161.44;   1.74;  10.74; -184.17; 91343469.00; 19992.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.19; 970.62; 25546.00; 
-84.06;  79.79; 961.73; -6874.52; -1565.03; 730.19;   1.52;  10.36; -184.04; 91446214.00; 20001.00; 20004.00; 19996.00; 19998.00; 20028.00;   0.09; 968.68; 25546.00; 
-70.76;  51.36; 1004.30; -7014.52; -1311.28; 1473.94;   1.43;   9.69; -184.01; 91543595.00; 19970.00; 20001.00; 20000.00; 20000.00; 19998.00;   0.26; 1008.10; 25546.00; 
-46.85;  27.57; 1054.45; 2973.60; 1423.10; -402.94;   1.17;   9.35; -184.05; 91640412.00; 20001.00; 19998.00; 20001.00; 19998.00; 19999.00;   0.53; 1055.85; 25546.00; 
-58.68;  17.69; 1043.34; 1827.35; -1538.78; -372.31;   1.13;   9.25; -183.99; 91741043.00; 20001.00; 19998.00; 20001.00; 19998.00; 20002.00;   0.41; 1045.14; 25546.00; 
-61.98;  37.33; 1031.39; 2619.23; -3131.27; -407.31;   0.87;   9.64; -184.07; 91841821.00; 19996.00; 20002.00; 19997.00; 20008.00; 19991.00;   0.37; 1033.92; 25546.00; 
09:30:08AM
-44.16;  40.99; 1032.49; 392.35; -2881.90; 275.19;   0.56;   9.77; -184.08; 91939932.00; 19999.00; 19999.00; 20001.00; 20004.00; 19996.00;   0.55; 1034.24; 22454.00; 
-30.26;  51.85; 1037.12; -810.78; -25.03; 218.31;   0.44;   9.81; -184.02; 92039212.00; 19998.00; 20001.00; 19998.00; 20032.00; 19966.00;   0.69; 1038.86; 22454.00; 
-31.35;  63.20; 1024.31; 440.48; -186.90; -647.94;   0.42;   9.83; -184.06; 92139115.00; 20013.00; 19989.00; 20038.00; 19957.00; 20000.00;   0.68; 1026.74; 22454.00; 
-35.87;  65.76; 1027.61; -644.53; -567.53; -214.81;   0.37;   9.75; -184.08; 92239476.00; 19999.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.63; 1030.33; 22454.00; 
-40.14;  64.66; 1027.00; 182.35; -484.40; 161.44;   0.30;   9.76; -184.06; 92339480.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.59; 1029.81; 22454.00; 
-35.50;  63.32; 1031.63; -784.53; -60.03; 305.81;   0.26;   9.76; -184.07; 92439521.00; 19998.00; 20002.00; 19997.00; 20001.00; 19998.00;   0.64; 1034.18; 22454.00; 
-37.58;  58.80; 1025.78; 1079.22; -930.65; -74.81;   0.19;   9.78; -184.09; 92539473.00; 20001.00; 19998.00; 20001.00; 20001.00; 19999.00;   0.62; 1028.15; 22454.00; 
-40.50;  59.54; 1021.02; 759.85; -860.65; -52.94;   0.11;   9.79; -184.10; 92640295.00; 20004.00; 19995.00; 19998.00; 20002.00; 19997.00;   0.58; 1023.55; 22454.00; 
-38.67;  57.34; 1015.89; -977.03; -825.65; -389.81;   0.08;   9.75; -184.09; 92740176.00; 20002.00; 19996.00; 20001.00; 19998.00; 20001.00;   0.60; 1018.25; 22454.00; 
-25.50;  50.14; 1025.29;  29.22; 338.10; -297.94;   0.04;   9.65; -184.11; 92839675.00; 20000.00; 20003.00; 19994.00; 20001.00; 19998.00;   0.74; 1026.83; 22454.00; 
09:30:09AM
-30.13;  47.09; 1020.77; -145.77; 206.85;   8.31;   0.10;   9.50; -184.12; 92939145.00; 20000.00; 19998.00; 20004.00; 19994.00; 20001.00;   0.69; 1022.30; 23371.00; 
-41.11;  42.58; 1025.78; -780.15; -239.40; -906.06;   0.17;   9.37; -184.14; 93039880.00; 19998.00; 19999.00; 20001.00; 20000.00; 19999.00;   0.58; 1027.48; 23371.00; 
-46.97;  32.21; 1024.56; -3037.65; -256.90; 244.56;   0.08;   9.26; -184.15; 93140027.00; 19998.00; 20006.00; 19999.00; 19995.00; 19998.00;   0.52; 1026.14; 23371.00; 
-42.70;  22.69; 1025.41; 624.22; -1053.15; -22.31;   0.01;   9.16; -184.15; 93239801.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.56; 1026.55; 23371.00; 
-31.72;  19.89; 1024.56; 2334.85; -860.65; -315.44;  -0.02;   9.05; -184.12; 93340036.00; 19999.00; 20001.00; 19997.00; 20001.00; 19998.00;   0.68; 1025.24; 23371.00; 
-29.52;  19.40; 1025.65; 707.35; 206.85; -472.94;   0.07;   8.85; -184.12; 93440066.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.70; 1026.26; 23371.00; 
-36.36;  26.35; 1026.26; -928.90; 998.72; -612.94;   0.16;   8.69; -184.13; 93539396.00; 19998.00; 20001.00; 20004.00; 19996.00; 20002.00;   0.63; 1027.25; 23371.00; 
-40.87;  19.52; 1034.44; -1331.40; 491.22; -337.31;   0.24;   8.60; -184.15; 93639633.00; 19997.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.59; 1035.43; 23371.00; 
-44.29;  16.59; 1035.17; -137.02; 307.47; 332.06;   0.19;   8.64; -184.15; 93739646.00; 19998.00; 20001.00; 19998.00; 20001.00; 20001.00;   0.55; 1036.25; 23371.00; 
-45.38;  13.54; 1027.12; -570.15;  40.60;  91.44;   0.16;   8.66; -184.17; 93839809.00; 19999.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.54; 1028.21; 23371.00; 
09:30:10AM
-35.01;  13.42; 1019.55; -250.77; 766.85; -101.06;   0.15;   8.56; -184.19; 93939044.00; 19997.00; 20002.00; 20002.00; 19997.00; 19998.00;   0.64; 1020.24; 23465.00; 
-36.11;   9.27; 1033.10; 317.98; 832.47;   8.31;   0.26;   8.52; -184.22; 94039082.00; 20001.00; 19998.00; 20001.00; 19998.00; 20001.00;   0.63; 1033.77; 23465.00; 
-39.04;  17.93; 1029.80; 1394.22;  -3.15; -923.56;   0.32;   8.57; -184.21; 94139042.00; 19998.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.60; 1030.70; 23465.00; 
-50.75;  18.42; 1022.85; -1576.40; 521.85; 607.69;   0.51;   8.47; -184.21; 94239321.00; 20001.00; 19998.00; 20001.00; 19998.00; 20017.00;   0.48; 1024.27; 23465.00; 
-47.70;  18.06; 1040.17;  81.72; 180.60; -1146.69;   0.54;   8.36; -184.25; 94339369.00; 19981.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.52; 1041.42; 23465.00; 
-40.50;  11.35; 1027.00; -1366.40; 670.60; -569.19;   0.58;   8.27; -184.28; 94439473.00; 20001.00; 19998.00; 20001.00; 19998.00; 20005.00;   0.59; 1027.86; 23465.00; 
-34.16;   3.66; 1022.36; -10.15; 2306.85; -289.19;   0.69;   8.22; -184.34; 94539605.00; 19993.00; 20001.00; 19998.00; 20001.00; 19998.00;   0.65; 1022.94; 23465.00; 
-47.58;   0.12; 1028.70; -1589.53; 1615.60; 143.94;   0.83;   8.20; -184.36; 94639702.00; 20039.00; 19959.00; 20001.00; 19998.00; 20001.00;   0.52; 1029.80; 23465.00; 
-74.66; -15.25; 1033.10; -592.03; -510.65; -311.06;   0.92;   8.14; -184.40; 94743826.00; 19998.00; 20001.00; 19998.00; 20003.00; 19995.00;   0.24; 1035.90; 23465.00; 
