ESTABILIDAD;07/10/2025 09:56:05;DOBACK027;Sesión:1;
ax; ay; az; gx; gy; gz; roll; pitch; yaw; timeantwifi; usciclo1; usciclo2; usciclo3; usciclo4; usciclo5; si; accmag; microsds; k3
-14.27; -14.52; 1008.21; -33.07; -34.30; 854.26;   0.93;   0.08;   5.85; 62659.00; 19999.00; 20002.00; 19997.00; 19999.00; 19999.00;   0.97; 1008.41; 196653.00;   0.50;
09:56:07
-13.66; -14.76; 1007.11; 255.68; -34.30; 806.14;   0.92;   0.07;   5.85; 36921.00; 20001.00; 19997.00; 19999.00; 20000.00; 19998.00;   0.98; 1007.31; 196653.00;   0.50;
-13.66; -14.76; 1007.11; 207.55; -305.55; 876.14;   0.92;   0.09;   5.87; 137150.00; 19999.00; 19999.00; 19999.00; 20002.00; 19997.00;   0.98; 1007.31; 195597.00;   0.50;
-14.27; -14.52; 1008.70; 601.30; -349.30; 941.76;   0.93;   0.11;   5.88; 9826.00; 19999.00; 19999.00; 20007.00; 19993.00; 20001.00;   0.97; 1008.90; 195597.00;   0.50;
-14.27; -14.52; 1008.70; 785.05; -253.05; 1348.64;   0.93;   0.10;   5.88; 109802.00; 20001.00; 20000.00; 19997.00; 19998.00; 19999.00;   0.97; 1008.90; 195597.00;   0.50;
-14.27; -14.52; 1008.70; 491.92;  70.70; 1226.14;   0.94;   0.09;   5.88; 209916.00; 19999.00; 19999.00; 20000.00; 19999.00; 19998.00;   0.97; 1008.90; 195597.00;   0.50;
-13.91; -14.76; 1007.84; 128.80; -222.42; 1103.64;   0.94;   0.09;   5.88; 48634.00; 19999.00; 19999.00; 20004.00; 19995.00; 19998.00;   0.97; 1008.05; 195597.00;   0.50;
-14.03; -15.01; 1006.50; 220.68; -362.42; 1121.14;   0.95;   0.07;   5.88; 9876.00; 19999.00; 19999.00; 19999.00; 20000.00; 20009.00;   0.97; 1006.71; 195597.00;   0.50;
-13.91; -15.13; 1007.11; -221.20; -187.42; 1217.39;   0.96;   0.03;   5.88; 12437.00; 19994.00; 19995.00; 19998.00; 19999.00; 20003.00;   0.97; 1007.32; 195597.00;   0.50;
-13.91; -15.13; 1007.11; -859.95;  83.83; 1353.01;   0.96;   0.01;   5.88; 112220.00; 20000.00; 19996.00; 19999.00; 19999.00; 19999.00;   0.97; 1007.32; 195597.00;   0.50;
-13.91; -14.40; 1008.45; -772.45;  88.20; 639.89;   0.96;   0.02;   5.88; 27779.00; 19999.00; 19999.00; 19999.00; 20002.00; 19997.00;   0.97; 1008.65; 195597.00;   0.50;
09:56:08
-13.91; -14.76; 1007.23; -50.57; -213.67; 552.39;   0.97;  -0.01;   5.88; 27010.00; 20000.00; 19998.00; 20000.00; 19999.00; 19998.00;   0.97; 1007.44; 195597.00;   0.50;
-13.91; -14.76; 1007.23; -190.57; -117.42; 863.01;   0.97;  -0.04;   5.89; 127469.00; 19999.00; 19999.00; 19999.00; 20001.00; 20006.00;   0.97; 1007.44; 195597.00;   0.50;
-13.66; -14.88; 1006.87; -278.08;  83.83; 889.26;   0.97;  -0.05;   5.89; 2842.00; 19992.00; 19999.00; 19998.00; 19999.00; 20002.00;   0.98; 1007.07; 199009.00;   0.50;
-14.03; -14.64; 1007.84; 146.30; -165.55; 779.89;   0.97;  -0.04;   5.89; 6848.00; 20001.00; 19996.00; 20003.00; 19999.00; 19998.00;   0.97; 1008.05; 199009.00;   0.50;
