ESTABILIDAD;30/09/2025 09:38:54;DOBACK027;Sesión:1;
ax; ay; az; gx; gy; gz; roll; pitch; yaw; timeantwifi; usciclo1; usciclo2; usciclo3; usciclo4; usciclo5; si; accmag; microsds; k3
-12.69; -14.76; 1006.99; 738.59; -789.34; 1338.93;   0.90;   0.24;   3.14; 36785.00; 20001.00; 19997.00; 19999.00; 20001.00; 19997.00;   0.98; 1007.18; 192995.00;   0.50;
-12.81; -14.64; 1008.21; 388.59; -653.71; 328.30;   0.93;   0.22;   3.13; 70102.00; 19998.00; 20002.00; 20000.00; 19998.00; 19998.00;   0.98; 1008.40; 192668.00;   0.50;
-12.32; -14.40; 1008.21; 147.96; 348.16; -437.33;   0.94;   0.20;   3.14; 21093.00; 20004.00; 19998.00; 19997.00; 20000.00; 20000.00;   0.98; 1008.39; 192668.00;   0.50;
-12.44; -14.76; 1007.84; 462.96; 706.91; -454.83;   0.92;   0.17;   3.14; 9980.00; 20017.00; 19982.00; 19996.00; 19999.00; 20010.00;   0.98; 1008.03; 192668.00;   0.50;
-12.20; -14.40; 1006.50; -153.91; 125.04; -831.08;   0.92;   0.13;   3.14; 22103.00; 19989.00; 19999.00; 20001.00; 19998.00; 19998.00;   0.98; 1006.68; 192668.00;   0.50;
-12.20; -14.40; 1007.35; -762.04;   6.91; -1338.57;   0.94;   0.12;   3.17; 59036.00; 19998.00; 20001.00; 20001.00; 19997.00; 19998.00;   0.98; 1007.53; 192668.00;   0.50;
-12.32; -14.40; 1007.48; -823.29; 453.16; -953.58;   0.92;   0.12;   3.22; 26621.00; 20000.00; 20001.00; 19998.00; 20002.00; 19997.00;   0.98; 1007.65; 192668.00;   0.50;
-12.32; -14.27; 1008.21; -420.79; 562.54;  61.42;   0.89;   0.10;   3.25; 26539.00; 20055.00; 19946.00; 20001.00; 20000.00; 20041.00;   0.98; 1008.38; 192668.00;   0.50;
-12.81; -14.52; 1007.84; -595.79; -386.84; 901.42;   0.88;   0.07;   3.26; 10917.00; 20001.00; 19955.00; 19996.00; 20002.00; 19998.00;   0.98; 1008.03; 192668.00;   0.50;
-13.30; -14.52; 1007.72; -845.16; -929.34; 1168.30;   0.88;   0.07;   3.26; 1089.00; 19996.00; 20000.00; 20001.00; 20026.00; 19974.00;   0.98; 1007.91; 192668.00;   0.50;
09:38:54
-12.93; -14.40; 1008.09; -403.29; -509.34; 1618.93;   0.89;   0.06;   3.25; 21005.00; 20000.00; 19998.00; 20000.00; 19997.00; 19998.00;   0.98; 1008.27; 192668.00;   0.50;
-12.44; -14.40; 1007.48; 493.59; -176.84; 2047.68;   0.90;   0.04;   3.24; 12786.00; 20000.00; 20000.00; 20003.00; 19999.00; 19999.00;   0.98; 1007.66; 192271.00;   0.50;
-12.44; -14.40; 1006.74; 808.59; -854.96; 2060.80;   0.91;   0.03;   3.24; 73251.00; 19998.00; 20001.00; 19997.00; 19998.00; 20000.00;   0.98; 1006.92; 192271.00;   0.50;
-12.32; -14.40; 1006.50; 226.71; -1029.96; 1028.30;   0.91;   0.02;   3.23; 70982.00; 20002.00; 20001.00; 19996.00; 19999.00; 20001.00;   0.98; 1006.68; 192271.00;   0.50;
-12.69; -14.40; 1007.72; -75.16;  20.04;  92.05;   0.91;   0.02;   3.23; 6655.00; 19996.00; 20000.00; 20000.00; 20000.00; 20004.00;   0.98; 1007.90; 192271.00;   0.50;
-12.44; -14.52; 1006.99; 524.21; 566.91; -78.58;   0.92;   0.01;   3.23; 133.00; 19996.00; 19998.00; 20002.00; 19998.00; 19998.00;   0.98; 1007.17; 192271.00;   0.50;
-12.44; -14.40; 1007.72; 318.59; 278.16; -354.20;   0.91;  -0.01;   3.23; 72032.00; 20003.00; 19998.00; 19997.00; 20000.00; 20003.00;   0.98; 1007.90; 192271.00;   0.50;
-12.44; -14.52; 1008.21; -560.79; -54.34; -979.83;   0.92;  -0.03;   3.23; 6239.00; 19997.00; 20002.00; 19996.00; 20000.00; 19998.00;   0.98; 1008.39; 192271.00;   0.50;
-12.44; -14.27; 1007.96; -1234.54; 238.79; -971.08;   0.92;  -0.03;   3.22; 18981.00; 19998.00; 20001.00; 20001.00; 19997.00; 20005.00;   0.98; 1008.14; 192271.00;   0.50;
-11.96; -14.40; 1007.48; -963.29; 632.54; -122.33;   0.91;  -0.03;   3.23; 99505.00; 19994.00; 19998.00; 20012.00; 19988.00; 19999.00;   0.98; 1007.65; 192271.00;   0.50;
09:38:55
-12.44; -14.40; 1008.09; -674.54;  59.41; 840.17;   0.91;  -0.03;   3.19; 11010.00; 20001.00; 19998.00; 19999.00; 20001.00; 20000.00;   0.98; 1008.27; 192271.00;   0.50;
-12.57; -14.15; 1008.45; -814.54; -881.21; 1330.18;   0.94;  -0.05;   3.12; 3614.00; 19996.00; 19999.00; 19999.00; 20003.00; 20017.00;   0.98; 1008.63; 192161.00;   0.50;
-12.44; -14.15; 1007.72; -910.79; -780.59; 1461.43;   0.98;  -0.04;   3.09; 25750.00; 19980.00; 20000.00; 20010.00; 19987.00; 20000.00;   0.98; 1007.90; 192161.00;   0.50;
-12.44; -14.64; 1006.99;  91.09; -268.71; 2161.43;   1.00;  -0.05;   3.05; 5870.00; 19998.00; 20000.00; 19997.00; 20000.00; 20000.00;   0.98; 1007.17; 192161.00;   0.50;
-12.69; -14.40; 1008.45; 651.09; -684.34; 2480.80;   0.99;  -0.07;   3.01; 47367.00; 19999.00; 19997.00; 20006.00; 19993.00; 19998.00;   0.98; 1008.63; 192161.00;   0.50;
-12.81; -14.27; 1007.96; 410.46; -1165.59; 1706.43;   1.00;  -0.11;   2.98; 25998.00; 20001.00; 19999.00; 20001.00; 19998.00; 19998.00;   0.98; 1008.15; 192161.00;   0.50;
-12.69; -14.52; 1007.96;  64.84; -518.09; 800.80;   1.03;  -0.11;   2.98; 7933.00; 19999.00; 19998.00; 20000.00; 20000.00; 20003.00;   0.98; 1008.15; 192161.00;   0.50;
