ESTABILIDAD;30/09/2025 17:34:04;DOBACK023;Sesión:2;
ax; ay; az; gx; gy; gz; roll; pitch; yaw; timeantwifi; usciclo1; usciclo2; usciclo3; usciclo4; usciclo5; si; accmag; microsds; k3
-20.62; -42.82; 1012.97; -45447.85; 802.55; 2625.70;  -5.19;  -3.86; -42.70; 1755.00; 19919.00; 20198.00; 19861.00; 20219.00; 19815.00;   0.96; 1014.08; 164559.00;   0.67;
-20.50; -42.82; 1012.97; -93043.48; 10991.92; -21931.18;  -3.91;  -9.92; -43.19; 1869.00; 20055.00; 19842.00; 19998.00; 20083.00; 19987.00;   0.96; 1014.08; 164559.00;   0.67;
-20.74; -42.82; 1012.97; -50159.73; 5540.67; -12546.80;  -3.10; -19.80; -47.11; 1983.00; 19926.00; 19998.00; 20030.00; 20091.00; 19932.00;   0.96; 1014.08; 164559.00;   0.67;
-20.86; -42.70; 1012.97; -66854.73; -14698.08; -55850.55;  -5.59; -24.12; -50.84; 1571.00; 19939.00; 20224.00; 19838.00; 19953.00; 19979.00;   0.96; 1014.08; 164559.00;   0.67;
-20.74; -42.70; 1012.84; 6632.15; 14155.05; -21.18;  -6.18; -25.66; -52.86; 42198.00; 20001.00; 19996.00; 20009.00; 19988.00; 19999.00;   0.96; 1013.96; 164559.00;   0.67;
-20.62; -42.82; 1013.21; -64334.73; -5226.20; -23099.30;  -9.46; -30.24; -57.32; 2350.00; 20000.00; 19998.00; 19999.00; 19997.00; 20058.00;   0.96; 1014.32; 164559.00;   0.67;
-20.62; -42.94; 1013.09; -19079.72; -1940.57; -13019.30; -12.54; -31.28; -59.58; 2463.00; 20164.00; 19776.00; 19997.00; 19998.00; 20032.00;   0.96; 1014.21; 164559.00;   0.67;
-20.62; -42.94; 1013.09; 23865.28; 2373.18; -2974.30; -13.90; -32.86; -61.62; 1288.00; 20055.00; 19929.00; 19978.00; 20057.00; 20007.00;   0.96; 1014.21; 164559.00;   0.67;
-20.62; -42.94; 1013.09; 14222.78; 3466.93; 17102.57; -12.57; -34.52; -61.82; 1193.00; 19932.00; 20000.00; 19996.00; 20000.00; 19996.00;   0.96; 1014.21; 163685.00;   0.67;
-20.74; -42.70; 1013.09; -29562.22; -356.83; -6872.42; -11.84; -33.97; -59.48; 1501.00; 20066.00; 19931.00; 19999.00; 20092.00; 19970.00;   0.96; 1014.20; 163685.00;   0.67;
17:34:05
-20.62; -42.70; 1013.09; -13475.35; 3624.43; -2147.43; -11.77; -35.05; -60.10; 1767.00; 20012.00; 20302.00; 19617.00; 20018.00; 20086.00;   0.96; 1014.20; 163685.00;   0.67;
-20.74; -42.82; 1013.33; -21787.85; 7277.55; -9020.55; -11.28; -35.41; -60.39; 1943.00; 20040.00; 19848.00; 19999.00; 20133.00; 19929.00;   0.96; 1014.45; 163685.00;   0.67;
-20.86; -42.94; 1013.21; 397.77; -4018.70; -795.55; -11.26; -36.64; -61.33; 1977.00; 20083.00; 19847.00; 19999.00; 20105.00; 19949.00;   0.96; 1014.33; 163685.00;   0.67;
-20.74; -42.94; 1013.09; -13545.35; 7172.55; 1033.20; -10.58; -37.34; -60.92; 2087.00; 20033.00; 19907.00; 19999.00; 20114.00; 19962.00;   0.96; 1014.21; 163685.00;   0.67;
-20.74; -42.82; 1013.21; -9515.97; -396.20; 521.33;  -9.78; -37.34; -60.67; 2253.00; 20012.00; 19905.00; 19999.00; 19999.00; 19999.00;   0.96; 1014.33; 163685.00;   0.67;
-20.74; -42.82; 1013.09; -10399.72; -1664.95; 455.70;  -9.63; -37.74; -60.77; 2338.00; 19997.00; 19999.00; 19999.00; 20264.00; 19820.00;   0.96; 1014.20; 163685.00;   0.67;
-20.74; -42.82; 1013.21; 12227.78; 3843.18; -3801.18;  -8.93; -36.37; -59.88; 2453.00; 20215.00; 19791.00; 19972.00; 20057.00; 19922.00;   0.96; 1014.33; 163685.00;   0.67;
-20.74; -42.82; 1013.09; 21113.40; -7641.20; 3360.70;  -8.12; -35.72; -59.24; 712.00; 20042.00; 19902.00; 20008.00; 19987.00; 20000.00;   0.96; 1014.20; 163685.00;   0.67;
-20.74; -42.70; 1012.97; 21655.90; -203.70; 11773.83;  -7.53; -35.90; -58.87; 991.00; 19998.00; 20037.00; 19958.00; 20016.00; 19983.00;   0.96; 1014.08; 164917.00;   0.67;
-20.74; -42.82; 1013.21; 5625.90; -4171.83; 12202.58;  -7.63; -36.04; -59.59; 1493.00; 20027.00; 20341.00; 19625.00; 19999.00; 20038.00;   0.96; 1014.33; 164917.00;   0.67;
17:34:06
-20.74; -42.82; 1013.09; 7489.65; 1625.05; 2761.32;  -6.98; -35.50; -58.43; 1763.00; 20020.00; 19937.00; 19998.00; 19999.00; 20047.00;   0.96; 1014.20; 164917.00;   0.67;
-20.86; -42.70; 1013.21; -13991.60; 1708.18; -651.17;  -6.50; -34.01; -58.38; 1867.00; 20114.00; 19897.00; 19934.00; 19999.00; 20046.00;   0.96; 1014.32; 164917.00;   0.67;
-20.98; -42.82; 1012.84; -1570.97; -3817.45; -2024.93;  -6.80; -33.57; -57.93; 1978.00; 20023.00; 20000.00; 19923.00; 20080.00; 19997.00;   0.96; 1013.97; 164917.00;   0.67;
-20.86; -42.94; 1012.84; -310.98; 246.92; 5233.20;  -6.55; -32.87; -57.72; 2075.00; 19999.00; 19998.00; 19918.00; 20000.00; 20054.00;   0.96; 1013.97; 164917.00;   0.67;
-20.86; -42.94; 1012.97; 11169.03; 2626.93; 10623.20;  -5.72; -32.56; -56.44; 1483.00; 19941.00; 20327.00; 19911.00; 19757.00; 19999.00;   0.96; 1014.09; 164917.00;   0.67;
-20.74; -42.82; 1013.09; 109.02; 1305.68; 10518.20;  -5.17; -33.01; -56.21; 16954.00; 20001.00; 19998.00; 20168.00; 19827.00; 20001.00;   0.96; 1014.20; 164917.00;   0.67;
-20.74; -42.82; 1013.21; -192.85; -1564.32; 9931.95;  -5.33; -34.01; -56.06; 2457.00; 20222.00; 20129.00; 19717.00; 19924.00; 19998.00;   0.96; 1014.33; 164917.00;   0.67;
-20.62; -42.70; 1013.21; -4720.98; 5343.80; 1160.07;  -4.90; -33.57; -55.31; 33273.00; 20000.00; 19997.00; 19999.00; 20001.00; 19996.00;   0.96; 1014.32; 164917.00;   0.67;
-20.74; -42.70; 1013.33; -8846.60; -1896.82; -1841.18;  -4.85; -33.32; -55.14; 39617.00; 19999.00; 20313.00; 20000.00; 19681.00; 20001.00;   0.96; 1014.44; 164310.00;   0.67;
-20.62; -42.70; 1012.97; 20601.53; -2973.07; -4794.30;  -4.95; -32.85; -54.58; 15503.00; 19999.00; 19996.00; 20000.00; 19996.00; 20001.00;   0.96; 1014.08; 164310.00;   0.67;
17:34:07
-20.74; -42.70; 1012.97; 5840.27; -6464.33; 7201.95;  -4.79; -32.94; -55.35; 1210.00; 19996.00; 20029.00; 20179.00; 19788.00; 19998.00;   0.96; 1014.08; 164310.00;   0.67;
-20.86; -42.70; 1013.09; 6772.15; 4796.92; 945.70;  -4.43; -32.41; -54.21; 668.00; 20091.00; 19994.00; 19964.00; 19943.00; 20001.00;   0.96; 1014.20; 164310.00;   0.67;
-20.74; -42.58; 1013.33; -4642.23; 1178.80; 13873.83;  -4.27; -32.52; -54.14; 21762.00; 20031.00; 20051.00; 19960.00; 20055.00; 19893.00;   0.96; 1014.44; 164310.00;   0.67;
-20.74; -42.70; 1013.09; 7109.02; 6297.55; 3001.95;  -4.14; -32.64; -53.29; 2082.00; 19998.00; 20058.00; 20005.00; 20041.00; 19933.00;   0.96; 1014.20; 164310.00;   0.67;
-20.62; -42.70; 1013.21; 459.02; -811.83; 1794.45;  -3.76; -32.04; -52.97; 22031.00; 20029.00; 19985.00; 19970.00; 20059.00; 19905.00;   0.96; 1014.32; 164310.00;   0.67;
-20.86; -42.82; 1013.21; -7000.35; 771.92; -6443.67;  -3.74; -31.53; -53.18; 2134.00; 19998.00; 20001.00; 19998.00; 20111.00; 20103.00;   0.96; 1014.33; 164310.00;   0.67;
-20.74; -42.82; 1013.33; 10053.40; -553.70; -2313.68;  -3.88; -31.07; -52.47; 22234.00; 20074.00; 19896.00; 20025.00; 19891.00; 19887.00;   0.96; 1014.45; 164310.00;   0.67;
-20.62; -42.70; 1013.21; 5525.27; -4928.70; 20283.20;  -3.71; -31.29; -52.85; 9294.00; 19998.00; 20000.00; 20017.00; 19980.00; 20001.00;   0.96; 1014.32; 164310.00;   0.67;
-20.62; -42.70; 1013.21; 8338.40; 2478.18; 7315.70;  -3.16; -31.25; -51.32; 7398.00; 19996.00; 20000.00; 20046.00; 19967.00; 19982.00;   0.96; 1014.32; 165081.00;   0.67;
-20.74; -42.70; 1013.09; -4467.23; -7076.83; -183.05;  -2.68; -30.79; -51.17; 21294.00; 19999.00; 19999.00; 20007.00; 20090.00; 19898.00;   0.96; 1014.20; 165081.00;   0.67;
17:34:08
-20.74; -42.70; 1013.21; 15859.03; 7395.67; 3666.95;  -3.31; -30.53; -50.40; 21561.00; 19998.00; 20032.00; 20001.00; 20057.00; 19903.00;   0.96; 1014.32; 165081.00;   0.67;
-20.62; -42.70; 1013.33; 7209.65; 977.55; 1632.57;  -2.83; -30.12; -50.51; 1868.00; 20077.00; 19994.00; 19991.00; 20024.00; 19964.00;   0.96; 1014.44; 165081.00;   0.67;
-20.74; -42.70; 1012.84; -15360.97; 5755.05; -10792.42;  -2.86; -29.27; -50.41; 1825.00; 20268.00; 19764.00; 19907.00; 19997.00; 19999.00;   0.96; 1013.96; 165081.00;   0.67;
-20.74; -42.70; 1013.09; -9205.35; 2014.43; 1671.95;  -3.00; -29.41; -49.89; 2078.00; 19997.00; 20001.00; 19997.00; 20103.00; 19947.00;   0.96; 1014.20; 165081.00;   0.67;
-20.50; -42.82; 1013.09; 10267.78; -9238.08; 12959.45;  -2.18; -32.04; -51.39; 2241.00; 19943.00; 19999.00; 19999.00; 20110.00; 19931.00;   0.96; 1014.20; 165081.00;   0.67;
-20.62; -42.70; 1013.09; -7442.23; 9990.05; -4536.17;  -1.72; -31.84; -50.48; 2341.00; 19952.00; 19999.00; 19999.00; 20098.00; 19951.00;   0.96; 1014.20; 165081.00;   0.67;
-20.74; -42.70; 1013.21; -17325.35; 9679.42; -5704.30;  -1.10; -31.02; -49.93; 2449.00; 20170.00; 19776.00; 19998.00; 20108.00; 19923.00;   0.96; 1014.32; 165081.00;   0.67;
-20.74; -42.82; 1013.09; -40517.23; 13840.05; -17000.55;  -0.84; -32.56; -51.42; 21168.00; 20029.00; 19932.00; 19997.00; 20304.00; 19694.00;   0.96; 1014.20; 165081.00;   0.67;
-20.74; -42.82; 1012.97; -53624.73; 7658.17; -11890.55;  -1.27; -36.83; -52.85; 363.00; 19999.00; 19999.00; 20006.00; 19990.00; 20022.00;   0.96; 1014.08; 164532.00;   0.67;
-20.62; -42.82; 1012.84; -26705.35; -2959.95; -572.42;  -1.77; -40.57; -53.48; 1503.00; 19975.00; 20000.00; 20163.00; 19947.00; 19930.00;   0.96; 1013.96; 164532.00;   0.67;
17:34:09
-20.86; -42.70; 1012.84; 12122.78; -6179.95; 11922.58;  -1.50; -42.20; -53.29; 1694.00; 20019.00; 19984.00; 19987.00; 19957.00; 20000.00;   0.96; 1013.96; 164532.00;   0.67;
-20.62; -42.70; 1012.84; 18869.03; -3620.57; -2628.68;  -1.58; -42.12; -52.95; 21775.00; 20142.00; 19852.00; 20001.00; 20109.00; 19886.00;   0.96; 1013.95; 164532.00;   0.67;
-20.50; -42.82; 1012.97; 1014.65; -5759.95; 21643.82;  -1.99; -40.70; -51.86; 1986.00; 19998.00; 19999.00; 19998.00; 20204.00; 19842.00;   0.96; 1014.08; 164532.00;   0.67;
-20.50; -42.94; 1012.84; -16389.10; -1822.45; -6907.42;  -1.83; -41.31; -51.88; 2091.00; 20008.00; 19938.00; 19999.00; 20063.00; 19984.00;   0.96; 1013.96; 164532.00;   0.67;
-20.50; -42.94; 1013.09; -19333.47; -3051.82; -5091.80;  -4.04; -44.46; -54.11; 2274.00; 20003.00; 19942.00; 20351.00; 19646.00; 20001.00;   0.96; 1014.20; 164532.00;   0.67;
-20.74; -42.70; 1012.84; 15386.53; 4875.67; 15860.08;  -2.81; -43.30; -51.99; 2332.00; 20063.00; 19932.00; 19998.00; 19999.00; 20000.00;   0.96; 1013.96; 164532.00;   0.67;
-20.74; -42.82; 1012.84; -3539.73; 2395.05; -7533.05;  -2.17; -42.77; -51.87; 2460.00; 20273.00; 19722.00; 19999.00; 20064.00; 19993.00;   0.96; 1013.96; 164532.00;   0.67;
-20.74; -42.46; 1012.97; 17757.78; -4412.45; 6248.20;  -1.65; -40.60; -51.03; 1323.00; 19938.00; 19998.00; 20000.00; 19999.00; 19998.00;   0.96; 1014.07; 164532.00;   0.67;
-20.74; -42.70; 1013.09; -940.97; 2333.80; -3407.43;  -1.14; -40.70; -49.86; 1427.00; 20070.00; 19993.00; 20008.00; 19921.00; 20000.00;   0.96; 1014.20; 165007.00;   0.67;
-20.62; -42.82; 1012.97; -5092.85; -4736.20; -401.80;  -2.60; -42.57; -51.14; 1534.00; 20082.00; 19990.00; 19922.00; 19998.00; 19999.00;   0.96; 1014.08; 165007.00;   0.67;
17:34:10
-20.62; -42.70; 1012.84; 12997.78; 5006.92; 10750.08;  -1.62; -41.30; -50.14; 1767.00; 20067.00; 19978.00; 19948.00; 19999.00; 20065.00;   0.96; 1013.95; 165007.00;   0.67;
