ESTABILIDAD;04/10/2025 09:56:43;DOBACK023;Sesión:1;
ax; ay; az; gx; gy; gz; roll; pitch; yaw; timeantwifi; usciclo1; usciclo2; usciclo3; usciclo4; usciclo5; si; accmag; microsds; k3
-21.47; -41.48; 1015.04; -75.95; 257.78; -41.65;   0.31;  -1.66;  -0.12; 38187.00; 19998.00; 19999.00; 19997.00; 20003.00; 19996.00;   0.96; 1016.11; 161487.00;   0.67;
-21.35; -41.48; 1015.53;  20.30; -258.47; -273.52;   0.32;  -1.67;  -0.12; 2125.00; 19997.00; 20000.00; 19998.00; 19997.00; 19999.00;   0.96; 1016.60; 161487.00;   0.67;
-21.11; -41.48; 1015.77; -154.70; 205.28;  63.35;   0.32;  -1.67;  -0.11; 435.00; 19997.00; 19999.00; 19997.00; 19999.00; 19998.00;   0.96; 1016.84; 161487.00;   0.67;
-21.11; -41.48; 1014.92;  59.67; -92.22; -164.15;   0.33;  -1.68;  -0.11; 2275.00; 20002.00; 19997.00; 19998.00; 20002.00; 19997.00;   0.96; 1015.98; 161487.00;   0.67;
-21.11; -41.48; 1015.28; -132.83; 126.53;  23.97;   0.34;  -1.68;  -0.11; 40970.00; 20025.00; 19972.00; 20001.00; 20001.00; 19997.00;   0.96; 1016.35; 161487.00;   0.67;
-20.74; -41.48; 1015.28; 274.05; -118.47; -85.40;   0.34;  -1.68;  -0.11; 2052.00; 20066.00; 20038.00; 19892.00; 19999.00; 20124.00;   0.96; 1016.34; 161487.00;   0.67;
-20.50; -41.72; 1015.28; -145.95; 218.40; 207.73;   0.35;  -1.69;  -0.11; 1137.00; 19882.00; 19988.00; 19997.00; 20000.00; 20000.00;   0.96; 1016.35; 161487.00;   0.67;
-20.98; -41.72; 1015.28; 120.92; -127.22; -76.65;   0.34;  -1.70;  -0.12; 2464.00; 19999.00; 19999.00; 19998.00; 19997.00; 19999.00;   0.96; 1016.36; 161487.00;   0.67;
-21.47; -41.60; 1015.41; -54.08; -17.85; 251.48;   0.37;  -1.71;  -0.12; 22902.00; 19998.00; 19998.00; 19997.00; 19999.00; 19997.00;   0.96; 1016.48; 161487.00;   0.67;
-21.23; -41.48; 1015.28; 147.17; 170.28; -11.03;   0.35;  -1.71;  -0.12; 239.00; 20000.00; 20001.00; 20004.00; 19991.00; 20058.00;   0.96; 1016.35; 161487.00;   0.67;
09:56:43
-21.23; -41.60; 1014.80; -27.83; -415.97; 312.73;   0.40;  -1.71;  -0.12; 41264.00; 20123.00; 20070.00; 19749.00; 19993.00; 19998.00;   0.96; 1015.87; 163008.00;   0.67;
-20.62; -41.72; 1015.41; 160.30; 559.65;  37.10;   0.37;  -1.72;  -0.12; 2107.00; 20000.00; 19999.00; 19999.00; 19997.00; 19999.00;   0.96; 1016.47; 163008.00;   0.67;
-20.74; -41.72; 1015.41; -137.20; -691.60; 391.48;   0.40;  -1.71;  -0.12; 315.00; 19997.00; 19999.00; 19997.00; 19999.00; 19997.00;   0.96; 1016.47; 163008.00;   0.67;
-20.74; -41.60; 1015.04; 230.30; 655.90;  10.85;   0.40;  -1.72;  -0.12; 4735.00; 20003.00; 19996.00; 19997.00; 19999.00; 19997.00;   0.96; 1016.10; 163008.00;   0.67;
-21.11; -41.48; 1014.67; -124.08; -490.35; 413.35;   0.42;  -1.72;  -0.13; 19385.00; 20000.00; 19997.00; 20000.00; 20000.00; 20015.00;   0.96; 1015.74; 163008.00;   0.67;
-20.62; -41.36; 1015.65; 317.80; 524.65; -41.65;   0.43;  -1.74;  -0.13; 20376.00; 19980.00; 19999.00; 20000.00; 19998.00; 19999.00;   0.96; 1016.70; 163008.00;   0.67;
-21.11; -41.24; 1015.53; -198.45; -219.10; 347.73;   0.43;  -1.73;  -0.14; 2891.00; 19996.00; 20000.00; 19997.00; 20237.00; 19759.00;   0.96; 1016.58; 163008.00;   0.67;
-21.35; -41.48; 1015.53; 217.17; 100.28; -94.15;   0.45;  -1.75;  -0.13; 2874.00; 19999.00; 19997.00; 20000.00; 19999.00; 19997.00;   0.96; 1016.60; 163008.00;   0.67;
-21.47; -41.24; 1015.53; -229.08;  25.90; 325.85;   0.45;  -1.75;  -0.13; 3070.00; 20000.00; 20008.00; 19989.00; 19996.00; 19999.00;   0.96; 1016.59; 163008.00;   0.67;
-21.59; -41.72; 1015.04; 217.17; -210.35; -181.65;   0.47;  -1.75;  -0.13; 1964.00; 19997.00; 20000.00; 19999.00; 19997.00; 19999.00;   0.96; 1016.13; 163008.00;   0.67;
09:56:45
-21.23; -41.48; 1015.77; -285.95; -599.72;  15.22;   0.46;  -1.75;  -0.13; 753.00; 19997.00; 19999.00; 20491.00; 19507.00; 20000.00;   0.96; 1016.84; 161788.00;   0.67;
-21.23; -41.60; 1015.65; 164.67; 279.65; -260.40;   0.47;  -1.75;  -0.12; 5106.00; 19998.00; 19996.00; 19999.00; 19997.00; 19999.00;   0.96; 1016.72; 161788.00;   0.67;
-20.86; -41.48; 1015.41; -272.83; -157.85;  37.10;   0.47;  -1.76;  -0.12; 2368.00; 19997.00; 19999.00; 19997.00; 19999.00; 19997.00;   0.96; 1016.47; 161788.00;   0.67;
-20.98; -41.36; 1015.04; 116.55; -114.10; -269.15;   0.48;  -1.76;  -0.12; 2524.00; 20000.00; 19996.00; 19999.00; 19997.00; 19999.00;   0.96; 1016.10; 161788.00;   0.67;
-20.62; -41.48; 1014.92; -290.33; 174.65;  32.72;   0.48;  -1.77;  -0.11; 2612.00; 19997.00; 19999.00; 19997.00; 19999.00; 19997.00;   0.96; 1015.97; 161788.00;   0.67;
-20.98; -41.36; 1015.04;  85.92; -280.35; -190.40;   0.47;  -1.76;  -0.12; 2723.00; 19999.00; 19997.00; 19999.00; 19997.00; 19999.00;   0.96; 1016.10; 161788.00;   0.67;
-21.23; -41.36; 1015.53; -23.45; 227.15;  23.97;   0.50;  -1.78;  -0.11; 2836.00; 19997.00; 19999.00; 19997.00; 19999.00; 19997.00;   0.96; 1016.59; 161788.00;   0.67;
-21.11; -41.48; 1015.41; -27.83; -262.85; -102.90;   0.47;  -1.78;  -0.11; 2917.00; 19999.00; 19999.00; 19998.00; 19997.00; 19999.00;   0.96; 1016.47; 161788.00;   0.67;
-21.72; -41.48; 1015.53;  90.30; 187.78; -32.90;   0.50;  -1.79;  -0.11; 1859.00; 19998.00; 19998.00; 19997.00; 20146.00; 19852.00;   0.96; 1016.61; 161788.00;   0.67;
