ESTABILIDAD;04/10/2025 09:54:24;DOBACK027;Sesión:1;
ax; ay; az; gx; gy; gz; roll; pitch; yaw; timeantwifi; usciclo1; usciclo2; usciclo3; usciclo4; usciclo5; si; accmag; microsds; k3
9.15;   2.56; 1008.70; -262.15; 358.92; 313.51;  -3.56;   7.63; -270.56; 57803.00; 20001.00; 19998.00; 20005.00; 19993.00; 19999.00;   0.98; 1008.74; 196896.00;   0.50;
10.49;   2.20; 1006.50; 240.98; 100.80; -246.49;  -3.55;   7.55; -270.54; 4829.00; 20007.00; 20039.00; 19951.00; 20001.00; 19998.00;   0.98; 1006.56; 193875.00;   0.50;
10.86;   3.17; 1006.74; -340.90; -113.58; -167.74;  -3.52;   7.43; -270.50; 2030.00; 20002.00; 19999.00; 20001.00; 20001.00; 19999.00;   0.98; 1006.81; 193875.00;   0.50;
8.66;   7.56; 1007.96; -669.03; 573.30; -683.99;  -3.49;   7.38; -270.46; 1343.00; 19995.00; 20001.00; 20001.00; 20004.00; 19995.00;   0.98; 1008.03; 193875.00;   0.50;
9.39;   5.98; 1006.62; -1294.65; 1238.30; -1239.61;  -3.44;   7.30; -270.46; 14270.00; 20001.00; 19998.00; 20001.00; 19995.00; 20003.00;   0.98; 1006.68; 193875.00;   0.50;
10.00;   1.46; 1006.01;   0.35; 652.05; -1690.24;  -3.40;   7.18; -270.43; 11456.00; 19995.00; 20003.00; 19998.00; 19997.00; 20014.00;   0.98; 1006.06; 193875.00;   0.50;
9.88;  -0.12; 1006.26; 100.98; 673.92; -1974.61;  -3.32;   7.02; -270.44; 9132.00; 19985.00; 20041.00; 19960.00; 20001.00; 20001.00;   0.98; 1006.30; 193875.00;   0.50;
8.42;  -0.73; 1006.50; -1329.65; 573.30; -456.49;  -3.24;   6.89; -270.47; 7517.00; 19998.00; 19997.00; 20003.00; 19997.00; 20001.00;   0.98; 1006.54; 193875.00;   0.50;
9.52;   0.24; 1007.23; -1250.90; 267.05; 449.14;  -3.19;   6.87; -270.49; 5472.00; 19997.00; 19999.00; 20003.00; 19999.00; 20001.00;   0.98; 1007.28; 193875.00;   0.50;
9.27;   0.00; 1008.45; 1960.35; -559.83; 304.76;  -3.18;   6.80; -270.49; 19290.00; 19999.00; 19994.00; 19999.00; 19999.00; 20003.00;   0.98; 1008.49; 193875.00;   0.50;
09:54:24
10.37;  -1.46; 1008.09; 748.47; -257.95; 624.14;  -3.15;   6.65; -270.48; 45674.00; 20001.00; 19997.00; 19999.00; 20001.00; 19997.00;   0.98; 1008.14; 193875.00;   0.50;
9.15;   1.95; 1007.11; -1124.03; 494.55; 479.76;  -3.14;   6.61; -270.47; 32462.00; 20003.00; 19997.00; 20002.00; 19996.00; 20002.00;   0.98; 1007.15; 195047.00;   0.50;
8.54;   6.59; 1007.23; -651.53; 380.80; -123.99;  -3.13;   6.63; -270.44; 12302.00; 19997.00; 20003.00; 19998.00; 20001.00; 19998.00;   0.98; 1007.29; 195047.00;   0.50;
8.30;   8.54; 1006.99; 739.72; 428.92; -898.36;  -3.10;   6.60; -270.38; 59909.00; 19997.00; 20003.00; 19995.00; 20172.00; 19829.00;   0.98; 1007.06; 195047.00;   0.50;
11.59;  10.98; 1006.74; -39.02; 752.67; -1270.24;  -3.08;   6.55; -270.32; 7866.00; 19999.00; 20000.00; 20001.00; 20001.00; 19997.00;   0.98; 1006.87; 195047.00;   0.50;
12.69;   9.76; 1008.33; -677.78; 866.42; -1322.74;  -3.05;   6.52; -270.28; 56239.00; 20002.00; 19997.00; 20001.00; 19997.00; 19999.00;   0.98; 1008.46; 195047.00;   0.50;
10.86;   7.81; 1007.35;  57.23; 127.05; -294.61;  -3.04;   6.49; -270.24; 3415.00; 20001.00; 19999.00; 20001.00; 19997.00; 20001.00;   0.98; 1007.44; 195047.00;   0.50;
9.64;   3.42; 1007.60; 669.72; -297.33; 1223.51;  -3.01;   6.45; -270.22; 1118.00; 20002.00; 19995.00; 20003.00; 19998.00; 19999.00;   0.98; 1007.65; 195047.00;   0.50;
11.71;  -9.27; 1006.74; -511.52; -152.95; 1214.76;  -2.98;   6.36; -270.22; 16485.00; 19998.00; 20003.00; 19997.00; 20002.00; 20055.00;   0.98; 1006.85; 195047.00;   0.50;
11.59; -29.65; 1009.92; -1600.90; 192.67; 291.64;  -2.93;   6.21; -270.21; 13586.00; 19939.00; 20003.00; 19998.00; 20002.00; 19998.00;   0.98; 1010.42; 195047.00;   0.50;
09:54:25
12.81; -48.68; 1010.40; -1732.15; 280.17; -876.49;  -2.90;   6.13; -270.18; 10253.00; 19998.00; 19996.00; 20003.00; 20005.00; 19993.00;   0.98; 1011.66; 195047.00;   0.50;
12.93; -52.70; 1009.55; 499.10; -341.08; -1165.24;  -2.88;   6.04; -270.13; 24325.00; 19998.00; 20201.00; 19795.00; 20004.00; 19997.00;   0.98; 1011.01; 194590.00;   0.50;
12.93; -44.29; 1010.65; 153.48; -297.33; -946.49;  -2.87;   5.87; -270.05; 21453.00; 19999.00; 20001.00; 20001.00; 20019.00; 19978.00;   0.98; 1011.70; 194590.00;   0.50;
13.05; -27.82; 1010.28; -1692.78; 332.67; -819.61;  -2.88;   5.78; -269.98; 3189.00; 20060.00; 19939.00; 20001.00; 19998.00; 20003.00;   0.98; 1010.75; 194590.00;   0.50;
13.79; -19.89; 1006.74; -1609.65; 700.17; -1042.74;  -2.91;   5.76; -269.90; 3981.00; 19993.00; 19999.00; 20022.00; 19980.00; 19999.00;   0.98; 1007.03; 194590.00;   0.50;
14.40; -18.79; 1006.74; -673.40; 700.17; -1537.11;  -2.95;   5.71; -269.81; 4936.00; 20001.00; 19997.00; 20003.00; 19995.00; 20001.00;   0.97; 1007.02; 194590.00;   0.50;
14.64; -20.25; 1006.26; -371.52; 726.42; -1852.11;  -2.95;   5.62; -269.72; 2884.00; 20001.00; 20021.00; 19979.00; 20050.00; 19947.00;   0.97; 1006.57; 194590.00;   0.50;
11.71; -22.94; 1007.60; -284.02; 678.30; -1423.36;  -2.93;   5.53; -269.67; 12886.00; 20001.00; 19997.00; 20001.00; 20002.00; 19999.00;   0.98; 1007.93; 194590.00;   0.50;
10.98; -22.81; 1006.99; -196.52; 538.30; -723.36;  -2.89;   5.43; -269.64; 96077.00; 19998.00; 19997.00; 19999.00; 20003.00; 19998.00;   0.98; 1007.31; 194590.00;   0.50;
10.37; -19.89; 1007.96;  70.35; 350.17; -36.49;  -2.84;   5.34; -269.63; 7310.00; 19999.00; 20002.00; 20175.00; 19819.00; 20003.00;   0.98; 1008.21; 194590.00;   0.50;
09:54:26
11.22; -18.30; 1007.96;  87.85;   8.92; 357.26;  -2.77;   5.24; -269.64; 19836.00; 19997.00; 19998.00; 20001.00; 20015.00; 19985.00;   0.98; 1008.19; 194590.00;   0.50;
11.35; -18.91; 1008.70; -170.27; 192.67; 702.89;  -2.73;   5.16; -269.65; 1089.00; 19997.00; 19999.00; 20029.00; 19974.00; 19995.00;   0.98; 1008.94; 194283.00;   0.50;
9.39; -20.50; 1009.67; -708.40; 245.17; -102.11;  -2.71;   5.11; -269.65; 15523.00; 20003.00; 19997.00; 20001.00; 20001.00; 19998.00;   0.98; 1009.92; 194283.00;   0.50;
8.78; -20.98; 1008.57; -975.28; 267.05; -622.74;  -2.70;   5.06; -269.65; 12898.00; 20037.00; 19959.00; 20001.00; 20046.00; 19996.00;   0.98; 1008.83; 194283.00;   0.50;
8.54; -20.86; 1009.18; -1001.53; 512.05; -793.36;  -2.69;   4.98; -269.62; 44939.00; 19959.00; 20001.00; 19997.00; 20042.00; 19955.00;   0.98; 1009.44; 194283.00;   0.50;
10.37; -19.76; 1007.48; -1075.90; 612.67; -872.11;  -2.68;   4.92; -269.59; 8029.00; 20003.00; 19998.00; 19999.00; 20001.00; 20001.00;   0.98; 1007.72; 194283.00;   0.50;
11.10; -19.03; 1007.84; -594.65; 367.67; -1182.74;  -2.67;   4.89; -269.56; 6605.00; 20069.00; 19925.00; 19999.00; 19999.00; 20001.00;   0.98; 1008.08; 194283.00;   0.50;
11.96; -17.45; 1007.84; 297.85; 100.80; -942.11;  -2.66;   4.81; -269.52; 37517.00; 19998.00; 20003.00; 20003.00; 19995.00; 19996.00;   0.98; 1008.06; 194283.00;   0.50;
12.08; -16.35; 1005.77; 280.35; 135.80; -141.49;  -2.63;   4.71; -269.49; 36913.00; 19999.00; 19999.00; 20001.00; 20001.00; 20000.00;   0.98; 1005.97; 194283.00;   0.50;
11.47; -15.74; 1008.45; -113.40; 223.30; 580.39;  -2.59;   4.64; -269.49; 33609.00; 19997.00; 19999.00; 19999.00; 20003.00; 19995.00;   0.98; 1008.64; 194283.00;   0.50;
09:54:27
10.61; -15.86; 1008.70; 289.10; -69.83; 956.64;  -2.55;   4.57; -269.52; 31023.00; 20004.00; 19997.00; 20001.00; 20001.00; 19995.00;   0.98; 1008.88; 194283.00;   0.50;
10.61; -15.86; 1008.70; 564.72; -205.45; 685.39;  -2.50;   4.46; -269.55; 2292.00; 19999.00; 19999.00; 19999.00; 20002.00; 19998.00;   0.98; 1008.88; 195356.00;   0.50;
10.98; -16.96; 1008.21;  74.73; -218.58; 1149.14;  -2.44;   4.36; -269.58; 9445.00; 20001.00; 20001.00; 19997.00; 20001.00; 20001.00;   0.98; 1008.41; 195356.00;   0.50;
11.96; -17.32; 1006.99; -708.40; 144.55; 1026.64;  -2.39;   4.31; -269.62; 21666.00; 20028.00; 19966.00; 19999.00; 20012.00; 20058.00;   0.98; 1007.21; 195356.00;   0.50;
12.32; -16.59; 1005.16; -760.90; 236.42; 471.01;  -2.35;   4.25; -269.66; 5404.00; 19930.00; 19998.00; 20001.00; 20001.00; 19999.00;   0.98; 1005.37; 195356.00;   0.50;
11.83; -15.98; 1005.52; -699.65;  87.67; -154.61;  -2.33;   4.18; -269.68; 52528.00; 20002.00; 19995.00; 20003.00; 19995.00; 20041.00;   0.98; 1005.72; 195356.00;   0.50;
10.00; -14.64; 1007.48; -953.40; 253.92; -530.86;  -2.30;   4.11; -269.69; 15959.00; 19963.00; 20037.00; 19961.00; 19999.00; 20005.00;   0.98; 1007.63; 195356.00;   0.50;
