ESTABILIDAD;06/10/2025 09:44:32;DOBACK027;Sesión:1;
ax; ay; az; gx; gy; gz; roll; pitch; yaw; timeantwifi; usciclo1; usciclo2; usciclo3; usciclo4; usciclo5; si; accmag; microsds; k3
9.27;   5.49; 1005.65; 255.33; -687.66; 840.53;  -9.55;  11.71; -262.67; 10366.00; 19998.00; 19993.00; 19999.00; 19999.00; 19999.00;   0.98; 1005.70; 196811.00;   0.50;
7.08;   5.37; 1005.65; 264.08; -101.41; 1216.78;  -9.49;  11.61; -262.69; 3261.00; 20003.00; 19996.00; 19999.00; 20003.00; 19996.00;   0.99; 1005.69; 195909.00;   0.50;
6.71;   3.05; 1007.48; 596.58; -215.16; 1068.03;  -9.44;  11.53; -262.71; 4974.00; 20003.00; 19996.00; 19999.00; 20001.00; 19998.00;   0.99; 1007.50; 195909.00;   0.50;
8.30;   1.22; 1008.21; 670.95; -538.91; 661.15;  -9.36;  11.41; -262.71; 16316.00; 19999.00; 20003.00; 19996.00; 20002.00; 20001.00;   0.98; 1008.24; 195909.00;   0.50;
8.91;   2.68; 1006.50; 360.33; -342.04; 525.53;  -9.26;  11.29; -262.71; 16366.00; 20000.00; 19996.00; 19999.00; 19999.00; 20003.00;   0.98; 1006.54; 195909.00;   0.50;
8.78;   5.86; 1005.40; -164.67; 502.34; 118.65;  -9.20;  11.18; -262.70; 8058.00; 19996.00; 19999.00; 20003.00; 20000.00; 19996.00;   0.98; 1005.46; 195909.00;   0.50;
9.88;   6.10; 1005.28; -142.80; 388.59; -388.85;  -9.16;  11.11; -262.70; 7656.00; 20001.00; 20002.00; 19996.00; 20003.00; 20003.00;   0.98; 1005.35; 195909.00;   0.50;
11.71;   5.25; 1006.13; -501.55; -114.54; -957.60;  -9.11;  11.01; -262.67; 8865.00; 19992.00; 20003.00; 19996.00; 20003.00; 19996.00;   0.98; 1006.22; 195909.00;   0.50;
10.98;   4.64; 1006.62; -991.55; -97.04; -861.35;  -9.05;  10.92; -262.64; 16697.00; 19999.00; 20003.00; 19996.00; 20002.00; 20000.00;   0.98; 1006.69; 195909.00;   0.50;
10.25;   3.90; 1005.77; -1000.30; 397.34; -454.48;  -9.03;  10.84; -262.62; 16701.00; 19999.00; 19998.00; 19999.00; 19999.00; 20003.00;   0.98; 1005.83; 195909.00;   0.50;
09:44:32
10.98;   3.05; 1006.01; -365.92;  69.21; -450.10;  -9.02;  10.75; -262.62; 12946.00; 19997.00; 19999.00; 20067.00; 19931.00; 20003.00;   0.98; 1006.08; 195909.00;   0.50;
10.25;   3.05; 1006.38;  10.33; -1260.79; 101.15;  -9.00;  10.61; -262.62; 28108.00; 19996.00; 20022.00; 19971.00; 20005.00; 19993.00;   0.98; 1006.43; 196133.00;   0.50;
8.78;   9.52; 1007.48; -125.30; -893.29; 223.65;  -8.98;  10.45; -262.60; 15693.00; 19999.00; 20003.00; 19996.00; 19999.00; 19999.00;   0.98; 1007.56; 196133.00;   0.50;
7.32;  20.01; 1007.48; -554.05; 327.34; 543.03;  -8.88;  10.27; -262.67; 13826.00; 20003.00; 19999.00; 20001.00; 19999.00; 19997.00;   0.99; 1007.70; 196133.00;   0.50;
5.98;  30.74; 1007.48; -746.55; 812.96; 1496.78;  -8.74;  10.10; -262.76; 34789.00; 19999.00; 20003.00; 19996.00; 20001.00; 20001.00;   0.99; 1007.96; 196133.00;   0.50;
7.08;  38.06; 1008.57; 425.95; -495.16; 1982.40;  -8.63;  10.01; -262.85; 16374.00; 19997.00; 19999.00; 20003.00; 19996.00; 20003.00;   0.99; 1009.32; 196133.00;   0.50;
5.37;  41.24; 1006.26; 277.20; -1247.66; 1151.15;  -8.56;   9.89; -262.90; 14666.00; 19996.00; 20003.00; 20000.00; 20190.00; 19807.00;   0.99; 1007.11; 196133.00;   0.50;
8.05;  42.70; 1002.84; -414.05; -591.41; 792.40;  -8.50;   9.82; -262.95; 15746.00; 20001.00; 19999.00; 20001.00; 19997.00; 20003.00;   0.99; 1003.78; 196133.00;   0.50;
8.78;  43.07; 1003.57; -11.55;  86.71; 1273.65;  -8.46;   9.78; -263.00; 74502.00; 19996.00; 19999.00; 20003.00; 19999.00; 19997.00;   0.98; 1004.53; 196133.00;   0.50;
8.78;  43.07; 1003.57; 443.45; -136.41;  92.40;  -8.43;   9.67; -263.01; 174511.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;   0.98; 1004.53; 196133.00;   0.50;
09:44:33
8.54;  42.46; 1003.57; -120.92; -1273.91; -178.85;  -8.45;   9.57; -262.96; 68019.00; 19999.00; 19999.00; 20003.00; 19996.00; 19999.00;   0.98; 1004.51; 196133.00;   0.50;
8.78;  41.85; 1001.50; -816.55; -635.16; -218.23;  -8.50;   9.51; -262.87; 362.00; 20032.00; 19966.00; 20014.00; 19987.00; 19998.00;   0.98; 1002.41; 196142.00;   0.50;
5.86;  41.48; 1004.06; -1245.30; 589.84; 184.27;  -8.49;   9.44; -262.81; 28299.00; 20001.00; 20001.00; 19999.00; 20001.00; 19999.00;   0.99; 1004.93; 196142.00;   0.50;
5.12;  41.97; 1004.18; -361.55;  51.71; 788.03;  -8.46;   9.35; -262.75; 90809.00; 19998.00; 20003.00; 19996.00; 20002.00; 19997.00;   0.99; 1005.07; 196142.00;   0.50;
4.64;  41.72; 1005.89;  27.83; -1015.79; 1439.90;  -8.44;   9.24; -262.65; 21383.00; 20026.00; 19976.00; 19995.00; 19999.00; 20014.00;   0.99; 1006.77; 196142.00;   0.50;
4.76;  40.50; 1006.26; -348.42; -92.66; 2424.27;  -8.42;   9.15; -262.54; 4873.00; 19984.00; 20028.00; 19974.00; 19996.00; 19999.00;   0.99; 1007.08; 196142.00;   0.50;
3.90;  39.16; 1004.18; 649.08; -44.54; 2179.27;  -8.37;   9.06; -262.43; 3319.00; 20003.00; 19996.00; 20003.00; 19996.00; 19999.00;   0.99; 1004.95; 196142.00;   0.50;
1.10;  37.09; 1004.30; 644.70; -219.54; 1676.15;  -8.30;   8.96; -262.29; 17847.00; 20001.00; 20014.00; 19986.00; 20002.00; 20000.00;   1.00; 1004.99; 196142.00;   0.50;
-0.49;  36.23; 1005.16; -33.42; 585.46; 1829.28;  -8.19;   8.85; -262.12; 48801.00; 19996.00; 20003.00; 20000.00; 20010.00; 19986.00;   1.00; 1005.81; 196142.00;   0.50;
-1.34;  35.75; 1005.28; -777.17; 1552.34; 2078.65;  -8.08;   8.78; -261.91; 29563.00; 20003.00; 19995.00; 19999.00; 20003.00; 19996.00;   1.00; 1005.92; 196142.00;   0.50;
09:44:34
-1.71;  34.65; 1004.55; -606.55; 1320.46; 1418.03;  -7.99;   8.71; -261.66; 36597.00; 20003.00; 19999.00; 19996.00; 20003.00; 19996.00;   1.00; 1005.15; 196142.00;   0.50;
