ESTABILIDAD;03/10/2025 09:47:31;DOBACK027;Sesión:1;
ax; ay; az; gx; gy; gz; roll; pitch; yaw; timeantwifi; usciclo1; usciclo2; usciclo3; usciclo4; usciclo5; si; accmag; microsds; k3
10.98;   9.27; 1006.38; -1249.41; 8164.71; 19234.95;   8.90;  20.80; 2194.59; 8310.00; 20001.00; 20000.00; 20001.00; 19996.00; 20000.00;   0.98; 1006.48; 194745.00;   0.50;
10.98;   9.15; 1006.38; -2220.66; 8042.21; 19948.07;   8.89;  20.78; 2196.83; 2033.00; 20001.00; 19997.00; 20003.00; 19998.00; 20045.00;   0.98; 1006.48; 194235.00;   0.50;
10.61;   9.52; 1006.26; -1555.66; 8129.71; 19344.32;   8.88;  20.76; 2199.07; 19202.00; 19955.00; 20001.00; 19996.00; 20003.00; 19999.00;   0.98; 1006.36; 194235.00;   0.50;
11.10;   9.15; 1006.13; -1415.66; 8182.21; 19506.20;   8.88;  20.77; 2201.29; 7886.00; 19999.00; 19997.00; 20000.00; 20003.00; 19996.00;   0.98; 1006.24; 194235.00;   0.50;
10.98;   9.15; 1006.26; -1726.29; 7941.59; 20131.82;   8.87;  20.74; 2203.53; 31710.00; 20002.00; 19996.00; 20021.00; 19980.00; 20034.00;   0.98; 1006.36; 194235.00;   0.50;
10.74;   9.39; 1006.74; -2251.29; 7980.96; 19812.45;   8.87;  20.72; 2205.76; 26206.00; 19963.00; 20003.00; 19997.00; 20002.00; 20033.00;   0.98; 1006.85; 194235.00;   0.50;
10.74;   9.27; 1006.01; -2098.16; 7994.09; 19711.82;   8.87;  20.74; 2207.99; 10155.00; 19962.00; 20090.00; 19911.00; 20001.00; 19997.00;   0.98; 1006.11; 194235.00;   0.50;
10.61;   9.39; 1006.38; -545.04; 7757.84; 19755.57;   8.86;  20.76; 2210.23; 304.00; 20061.00; 19937.00; 20003.00; 19996.00; 20003.00;   0.98; 1006.48; 194235.00;   0.50;
10.74;   9.39; 1006.26; -1455.04; 8335.34; 19611.20;   8.84;  20.73; 2212.48; 803.00; 19999.00; 19997.00; 20003.00; 20017.00; 19978.00;   0.98; 1006.36; 194235.00;   0.50;
10.74;   9.27; 1006.87; -1345.66; 8217.21; 19173.70;   8.85;  20.65; 2214.72; 5992.00; 20214.00; 19787.00; 19998.00; 20002.00; 20073.00;   0.98; 1006.97; 194235.00;   0.50;
09:47:31
11.22;   8.54; 1001.25; -1516.29; 7959.09; 19558.70;   8.85;  20.65; 2216.94; 13986.00; 19922.00; 20003.00; 19996.00; 20003.00; 19999.00;   0.98; 1001.35; 194235.00;   0.50;
10.25;   9.27; 1006.99; -2898.79; 7823.46; 20634.95;   8.86;  20.67; 2219.14; 377.00; 20001.00; 20010.00; 20031.00; 19960.00; 19993.00;   0.98; 1007.08; 194792.00;   0.50;
10.98;  10.74; 1004.79; -2120.04; 7989.71; 19462.45;   8.87;  20.66; 2221.38; 64955.00; 20003.00; 19997.00; 20001.00; 19997.00; 19999.00;   0.98; 1004.91; 194792.00;   0.50;
10.98;  10.74; 1004.79; -899.41; 8186.59; 18491.20;   8.86;  20.67; 2223.61; 165047.00; 20008.00; 19990.00; 19999.00; 20001.00; 19997.00;   0.98; 1004.91; 194792.00;   0.50;
10.61;  10.13; 1005.65; -1717.54; 7814.71; 20131.82;   8.89;  20.64; 2225.82; 3513.00; 19999.00; 19999.00; 19999.00; 19999.00; 20000.00;   0.98; 1005.75; 194792.00;   0.50;
11.22;   8.05; 1004.43; -1717.54; 7954.71; 19685.57;   8.88;  20.62; 2228.08; 20966.00; 19999.00; 20000.00; 19997.00; 20000.00; 20000.00;   0.98; 1004.52; 194792.00;   0.50;
11.22;   8.05; 1004.43; -1875.04; 8505.96; 18504.32;   8.89;  20.63; 2230.30; 120944.00; 19997.00; 19999.00; 20011.00; 19988.00; 19999.00;   0.98; 1004.52; 194792.00;   0.50;
10.86;   9.03; 1006.26; -1319.41; 7770.96; 20092.45;   8.89;  20.61; 2232.52; 13249.00; 19999.00; 20018.00; 20042.00; 19941.00; 19996.00;   0.98; 1006.36; 194792.00;   0.50;
10.98;   9.27; 1006.13; -1599.41; 8278.46; 18981.20;   8.89;  20.61; 2234.75; 12036.00; 20212.00; 19786.00; 20008.00; 19993.00; 20007.00;   0.98; 1006.24; 194792.00;   0.50;
11.22;   9.03; 1003.57; -1603.79; 8155.96; 19689.95;   8.91;  20.58; 2236.98; 8687.00; 19993.00; 19997.00; 19999.00; 19999.00; 20021.00;   0.98; 1003.68; 194792.00;   0.50;
09:47:32
10.98;   8.54; 1003.82; -2115.66; 8050.96; 19703.07;   8.92;  20.56; 2239.20; 7087.00; 19982.00; 19995.00; 19999.00; 20008.00; 20042.00;   0.98; 1003.91; 194792.00;   0.50;
11.10;   8.30; 1003.57; -2386.91; 8120.96; 19742.45;   8.92;  20.58; 2241.42; 2174.00; 19951.00; 19997.00; 19999.00; 19999.00; 20086.00;   0.98; 1003.67; 194463.00;   0.50;
10.98;   8.54; 1005.40; -2141.91; 8059.71; 19733.70;   8.92;  20.60; 2243.65; 843.00; 19916.00; 19997.00; 20000.00; 20001.00; 20001.00;   0.98; 1005.50; 194463.00;   0.50;
10.86;   9.27; 1006.38; -1905.66; 8177.84; 19528.07;   8.92;  20.62; 2245.87; 17379.00; 19998.00; 19997.00; 19999.00; 20005.00; 19994.00;   0.98; 1006.48; 194463.00;   0.50;
10.86;   9.76; 1006.13; -1840.04; 8112.21; 19523.70;   8.94;  20.61; 2248.10; 28917.00; 20099.00; 19898.00; 19999.00; 20003.00; 19996.00;   0.98; 1006.24; 194463.00;   0.50;
10.74;  10.00; 1005.16; -1883.79; 8037.84; 19567.45;   8.94;  20.61; 2250.33; 51096.00; 20003.00; 19998.00; 20001.00; 19996.00; 19999.00;   0.98; 1005.27; 194463.00;   0.50;
10.86;  10.00; 1005.65; -2045.66; 8042.21; 19606.82;   8.94;  20.62; 2252.55; 61071.00; 19999.00; 20003.00; 20039.00; 20015.00; 19940.00;   0.98; 1005.75; 194463.00;   0.50;
11.22;   9.52; 1006.38; -1826.91; 7994.09; 19650.57;   8.94;  20.63; 2254.77; 42226.00; 20000.00; 20000.00; 19998.00; 20001.00; 19997.00;   0.98; 1006.49; 194463.00;   0.50;
11.22;   8.05; 1005.77; -1743.79; 8015.96; 19689.95;   8.95;  20.63; 2256.99; 1255.00; 19999.00; 20003.00; 20000.00; 20002.00; 19994.00;   0.98; 1005.86; 194463.00;   0.50;
11.10;   9.27; 1006.13; -1848.79; 7941.59; 19720.57;   8.96;  20.62; 2259.21; 4068.00; 19998.00; 19999.00; 20000.00; 19999.00; 20017.00;   0.98; 1006.24; 194463.00;   0.50;
09:47:33
10.98;   9.03; 1005.16; -1971.29; 7959.09; 19733.70;   8.97;  20.61; 2261.43; 1396.00; 19982.00; 20002.00; 19998.00; 19997.00; 20122.00;   0.98; 1005.26; 194463.00;   0.50;
10.98;   8.42; 1005.28; -1958.16; 7963.46; 19755.57;   8.98;  20.61; 2263.65; 2097.00; 19877.00; 20003.00; 19999.00; 19999.00; 19999.00;   0.98; 1005.38; 194183.00;   0.50;
11.10;   8.30; 1005.04; -1831.29; 7875.96; 19799.32;   8.99;  20.61; 2265.87; 45282.00; 20001.00; 20047.00; 19953.00; 19996.00; 19999.00;   0.98; 1005.13; 194183.00;   0.50;
10.74;   8.54; 1005.40; -1861.91; 7967.84; 19742.45;   8.99;  20.61; 2268.09; 45518.00; 20020.00; 19978.00; 20003.00; 20012.00; 19991.00;   0.98; 1005.50; 194183.00;   0.50;
10.61;   8.78; 1005.04; -1844.41; 8081.59; 19808.07;   9.00;  20.60; 2270.31; 23156.00; 19992.00; 20003.00; 20002.00; 19995.00; 20031.00;   0.98; 1005.13; 194183.00;   0.50;
10.74;   8.54; 1004.79; -1949.41; 8037.84; 19899.95;   9.02;  20.59; 2272.53; 4496.00; 19967.00; 19999.00; 20003.00; 19996.00; 20000.00;   0.98; 1004.89; 194183.00;   0.50;
10.74;   8.66; 1004.67; -1914.41; 7994.09; 19943.70;   9.03;  20.59; 2274.74; 89885.00; 20000.00; 19997.00; 19999.00; 19999.00; 19999.00;   0.98; 1004.76; 194183.00;   0.50;
10.98;   8.54; 1004.30; -1905.66; 7950.34; 19991.82;   9.05;  20.59; 2276.96;  83.00; 19999.00; 20017.00; 19985.00; 20001.00; 19999.00;   0.98; 1004.40; 194183.00;   0.50;
10.86;   8.54; 1004.43; -1879.41; 7862.84; 20009.32;   9.06;  20.58; 2279.17; 1759.00; 20001.00; 19999.00; 19997.00; 20029.00; 19973.00;   0.98; 1004.52; 194183.00;   0.50;
10.98;   8.54; 1003.57; -1914.41; 7889.09; 20004.95;   9.08;  20.58; 2281.38; 12535.00; 20001.00; 19996.00; 20003.00; 19999.00; 20001.00;   0.98; 1003.67; 194183.00;   0.50;
09:47:34
11.10;   8.30; 1003.08; -1888.16; 7959.09; 20066.20;   9.10;  20.58; 2283.59; 65127.00; 20001.00; 19999.00; 19996.00; 19999.00; 20020.00;   0.98; 1003.18; 194183.00;   0.50;
11.10;   8.42; 1002.72; -1826.91; 7941.59; 20022.45;   9.12;  20.57; 2285.80; 363.00; 19979.00; 19999.00; 20001.00; 20001.00; 19997.00;   0.98; 1002.81; 195116.00;   0.50;
10.98;   8.42; 1003.45; -1743.79; 7836.59; 20035.57;   9.14;  20.57; 2288.01; 20913.00; 20000.00; 20001.00; 19998.00; 19997.00; 20003.00;   0.98; 1003.55; 195116.00;   0.50;
11.10;   8.42; 1004.06; -1673.79; 7893.46; 20044.32;   9.16;  20.56; 2290.22; 35688.00; 20033.00; 19962.00; 19999.00; 20005.00; 19993.00;   0.98; 1004.16; 195116.00;   0.50;
10.98;   8.30; 1003.33; -1853.16; 7902.21; 19934.95;   9.17;  20.56; 2292.42; 17641.00; 19999.00; 19999.00; 20000.00; 20002.00; 19997.00;   0.98; 1003.42; 195116.00;   0.50;
10.98;   8.05; 1002.60; -1879.41; 7845.34; 20026.82;   9.19;  20.56; 2294.63; 14292.00; 19999.00; 20133.00; 19865.00; 20001.00; 19998.00;   0.98; 1002.69; 195116.00;   0.50;
11.22;   7.93; 1001.38; -1896.91; 7945.96; 19939.32;   9.20;  20.58; 2296.84; 553.00; 19999.00; 19999.00; 20068.00; 19929.00; 20000.00;   0.98; 1001.47; 195116.00;   0.50;
11.59;   8.30; 1002.11; -1805.04; 7906.59; 19917.45;   9.21;  20.59; 2299.06; 955.00; 19998.00; 20000.00; 19998.00; 20000.00; 19998.00;   0.98; 1002.21; 195116.00;   0.50;
11.22;   8.05; 1001.38; -1656.29; 7915.34; 19843.07;   9.23;  20.60; 2301.28; 1197.00; 20000.00; 19998.00; 20003.00; 19999.00; 20139.00;   0.98; 1001.47; 195116.00;   0.50;
11.35;   8.05; 1001.13; -1665.04; 7967.84; 19926.20;   9.24;  20.60; 2303.49; 6076.00; 19857.00; 20003.00; 19996.00; 19999.00; 20003.00;   0.98; 1001.23; 195116.00;   0.50;
09:47:35
11.22;   8.05; 1001.62; -1743.79; 7810.34; 20057.45;   9.25;  20.61; 2305.71; 54609.00; 20001.00; 19998.00; 19999.00; 19997.00; 19999.00;   0.98; 1001.72; 195116.00;   0.50;
11.10;   7.93; 1001.01; -1791.91; 7840.96; 20158.07;   9.26;  20.63; 2307.92; 84696.00; 20051.00; 19963.00; 19984.00; 19999.00; 20003.00;   0.98; 1001.10; 195116.00;   0.50;
11.22;   7.93; 1001.62; -1923.16; 7889.09; 19983.07;   9.27;  20.64; 2310.13; 30533.00; 19999.00; 19996.00; 20003.00; 19998.00; 20002.00;   0.98; 1001.71; 199021.00;   0.50;
11.22;   8.30; 1001.13; -1993.16; 7867.21; 19974.32;   9.28;  20.66; 2312.35; 31143.00; 19994.00; 20000.00; 20001.00; 20003.00; 19996.00;   0.98; 1001.23; 199021.00;   0.50;
11.22;   7.93; 1000.52; -1883.79; 7849.71; 20057.45;   9.29;  20.68; 2314.56; 2867.00; 20001.00; 19997.00; 20001.00; 19997.00; 20000.00;   0.98; 1000.62; 199021.00;   0.50;
11.22;   8.05; 1000.40; -1791.91; 7880.34; 19991.82;   9.30;  20.69; 2316.78; 15301.00; 19998.00; 19999.00; 20003.00; 20013.00; 19986.00;   0.98; 1000.50; 199021.00;   0.50;
11.35;   8.05; 1000.64; -1560.04; 7731.59; 20206.20;   9.30;  20.70; 2319.00; 25767.00; 20027.00; 19969.00; 19999.00; 20007.00; 19992.00;   0.98; 1000.74; 199021.00;   0.50;
11.22;   7.81; 1000.16; -1525.04; 7683.46; 20407.45;   9.31;  20.70; 2321.22; 28769.00; 20000.00; 20002.00; 19996.00; 20000.00; 20000.00;   0.98; 1000.25; 199021.00;   0.50;
11.22;   8.05; 1001.01; -1818.16; 7779.71; 20459.95;   9.33;  20.70; 2323.43; 534.00; 20007.00; 19990.00; 20001.00; 20000.00; 19997.00;   0.98; 1001.11; 199021.00;   0.50;
11.35;   7.81; 1000.64; -2071.91; 7775.34; 20499.32;   9.34;  20.73; 2325.63; 14770.00; 20003.00; 19997.00; 20025.00; 19972.00; 20042.00;   0.98; 1000.74; 199021.00;   0.50;
09:47:36
11.47;   7.56; 999.91; -1953.79; 7788.46; 20311.20;   9.34;  20.74; 2327.84; 11479.00; 19959.00; 19998.00; 19999.00; 19999.00; 20003.00;   0.98; 1000.01; 199021.00;   0.50;
11.35;   7.81; 1000.40; -1848.79; 7889.09; 20114.32;   9.34;  20.75; 2330.06; 89916.00; 19999.00; 19998.00; 19999.00; 19999.00; 20028.00;   0.98; 1000.49; 194999.00;   0.50;
11.47;   8.17; 1000.40; -1927.54; 7875.96; 20144.95;   9.35;  20.76; 2332.28; 61256.00; 19971.00; 20003.00; 19999.00; 19997.00; 19999.00;   0.98; 1000.50; 194999.00;   0.50;
11.35;   7.69; 1000.03; -2067.54; 7836.59; 20293.70;   9.35;  20.77; 2334.50; 56175.00; 19999.00; 19999.00; 20003.00; 19998.00; 19997.00;   0.98; 1000.13; 194999.00;   0.50;
11.47;   7.69; 1000.16; -2168.16; 7976.59; 20127.45;   9.34;  20.79; 2336.72; 37024.00; 19999.00; 20000.00; 19999.00; 19999.00; 20000.00;   0.98; 1000.25; 194999.00;   0.50;
11.47;   7.93; 1000.52; -2207.54; 8064.09; 20053.07;   9.34;  20.81; 2338.94; 162.00; 20024.00; 19973.00; 20003.00; 19999.00; 19997.00;   0.98; 1000.62; 194999.00;   0.50;
