ESTABILIDAD;02/10/2025 09:50:14;DOBACK027;Sesión:1;
ax; ay; az; gx; gy; gz; roll; pitch; yaw; timeantwifi; usciclo1; usciclo2; usciclo3; usciclo4; usciclo5; si; accmag; microsds; k3
-20.62;  10.49; 1003.94; 913.15; -95.11; -161.70;   0.98;   0.34;   2.07; 17500.00; 20003.00; 19995.00; 19999.00; 19998.00; 20004.00;   0.96; 1004.20; 193934.00;   0.50;
09:50:17
-21.47;   8.54; 1000.89; -320.60; 263.64; -240.45;   1.02;   0.36;   1.98; 14418.00; 19998.00; 19997.00; 19998.00; 20003.00; 20001.00;   0.96; 1001.15; 193934.00;   0.50;
-21.72;   5.25; 1003.82; 274.40; 307.39; -1312.32;   1.08;   0.39;   1.83; 64457.00; 19996.00; 19999.00; 19998.00; 19999.00; 19999.00;   0.96; 1004.06; 193934.00;   0.50;
-21.72;   5.25; 1003.82; 1814.40; 184.89; -2629.20;   1.13;   0.43;   1.65; 163144.00; 20001.00; 19997.00; 19999.00; 20000.00; 20007.00;   0.96; 1004.06; 193934.00;   0.50;
-21.72;   5.25; 1003.82; 554.40; -42.61; -2375.45;   1.14;   0.49;   1.45; 263025.00; 19992.00; 19999.00; 19999.00; 19999.00; 19999.00;   0.96; 1004.06; 194296.00;   0.50;
-19.76;  -5.37; 1014.43; 121.27; -388.24; -2445.45;   1.09;   0.69;   1.24; 3869.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;   0.96; 1014.64; 194296.00;   0.50;
-18.91;  -7.69; 1014.19; 265.65; -576.36; -2742.95;   1.02;   0.72;   1.04; 84832.00; 19999.00; 20003.00; 19996.00; 20002.00; 19997.00;   0.97; 1014.39; 194296.00;   0.50;
-15.62; -14.15; 1012.84; 1201.90; -221.99; -3744.82;   0.92;   0.72;   0.85; 61405.00; 19999.00; 19999.00; 20003.00; 19996.00; 19999.00;   0.97; 1013.06; 194296.00;   0.50;
-15.62; -14.15; 1012.84;  90.65; 329.26; -4177.95;   0.88;   0.72;   0.61; 161432.00; 19952.00; 19999.00; 19999.00; 19999.00; 19999.00;   0.97; 1013.06; 194296.00;   0.50;
-10.37; -16.84; 997.96; -215.60; 863.01; -4672.33;   0.90;   0.76;   0.28; 75466.00; 19999.00; 20003.00; 20042.00; 19953.00; 19999.00;   0.98; 998.16; 194296.00;   0.50;
-7.32; -20.50; 995.03; 1446.90; 933.01; -5875.45;   0.94;   0.91;  -0.18; 6741.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;   0.99; 995.27; 194296.00;   0.50;
09:50:18
-7.32; -20.50; 995.03; 3669.40; 499.89; -7117.95;   1.01;   0.98;  -0.80; 106773.00; 19998.00; 19999.00; 19999.00; 20003.00; 19996.00;   0.99; 995.27; 194296.00;   0.50;
