GPS;03/10/2025-09:47:31;DOBACK027;Sesión:1
HoraRaspberry,Fecha,Hora(GPS),Latitud,Longitud,Altitud,HDOP,Fix,NumSats,Velocidad(km/h)
Hora Raspberry-09:48:58,03/10/2025,Hora GPS-07:48:58,sin datos GPS
Hora Raspberry-09:48:59,03/10/2025,Hora GPS-07:48:59,sin datos GPS
Hora Raspberry-09:49:01,03/10/2025,Hora GPS-07:49:01,sin datos GPS
Hora Raspberry-09:49:02,03/10/2025,Hora GPS-07:49:02,sin datos GPS
Hora Raspberry-09:49:03,03/10/2025,Hora GPS-07:49:03,sin datos GPS
Hora Raspberry-09:49:05,03/10/2025,Hora GPS-07:49:05,sin datos GPS
Hora Raspberry-09:49:06,03/10/2025,Hora GPS-07:49:06,sin datos GPS
Hora Raspberry-09:49:07,03/10/2025,Hora GPS-07:49:07,sin datos GPS
Hora Raspberry-09:49:08,03/10/2025,Hora GPS-07:49:08,sin datos GPS
Hora Raspberry-09:49:09,03/10/2025,Hora GPS-04:90:9.,sin datos GPS
Hora Raspberry-09:49:10,03/10/2025,Hora GPS-07:49:10,sin datos GPS
Hora Raspberry-09:49:11,03/10/2025,Hora GPS-07:49:11,sin datos GPS
Hora Raspberry-09:49:12,03/10/2025,Hora GPS-07:49:12,sin datos GPS
Hora Raspberry-09:49:13,03/10/2025,Hora GPS-07:49:13,sin datos GPS
Hora Raspberry-09:49:14,03/10/2025,Hora GPS-07:49:14,sin datos GPS
Hora Raspberry-09:49:15,03/10/2025,Hora GPS-07:49:15,sin datos GPS
Hora Raspberry-09:49:16,03/10/2025,Hora GPS-07:49:16,sin datos GPS
Hora Raspberry-09:49:19,03/10/2025,Hora GPS-07:49:19,sin datos GPS
Hora Raspberry-09:49:20,03/10/2025,Hora GPS-07:49:0.,sin datos GPS
Hora Raspberry-09:49:21,03/10/2025,Hora GPS-07:49:21,sin datos GPS
Hora Raspberry-09:49:22,03/10/2025,Hora GPS-07:49:22,sin datos GPS
Hora Raspberry-09:49:23,03/10/2025,Hora GPS-07:49:23,sin datos GPS
Hora Raspberry-09:49:24,03/10/2025,Hora GPS-07:49:24,sin datos GPS
Hora Raspberry-09:49:25,03/10/2025,Hora GPS-07:49:25,sin datos GPS
Hora Raspberry-09:49:26,03/10/2025,Hora GPS-07:49:26,sin datos GPS
Hora Raspberry-09:49:27,03/10/2025,Hora GPS-07:49:27,sin datos GPS
Hora Raspberry-09:49:28,03/10/2025,Hora GPS-07:49:28,sin datos GPS
Hora Raspberry-09:49:29,03/10/2025,Hora GPS-07:49:29,sin datos GPS
Hora Raspberry-09:49:31,03/10/2025,Hora GPS-07:49:31,sin datos GPS
Hora Raspberry-09:49:32,03/10/2025,Hora GPS-07:49:32,sin datos GPS
Hora Raspberry-09:49:33,03/10/2025,Hora GPS-07:49:33,sin datos GPS
Hora Raspberry-09:49:34,03/10/2025,Hora GPS-07:49:34,sin datos GPS
